"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","240
002","24","2.583","8.3","8.3","16.7","25.0","41.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","Course Total","57","2.565","15.8","8.8","14.0","14.0","31.6","8.8","1.8",".",".",".",".",".",".","5.3",".","."
"Topics in Calculus I","275
001","38","3.276","42.1","13.2","21.1","15.8","5.3",".","2.6",".",".",".",".",".",".",".",".","."
"Directed Study in Math","298
015","80","",".",".",".",".",".",".",".",".",".","97.5","2.5",".",".",".",".","."
"Theory-Interst & Life Insur","303
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Math Statistics","309
001","14","3.393","21.4","42.9","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","319
001","37","3.014","32.4","13.5","21.6","10.8","13.5","5.4","2.7",".",".",".",".",".",".",".",".","."
"","319
003","79","2.577","11.4","19.0","20.3","16.5","13.9","12.7","5.1",".","1.3",".",".",".",".",".",".","."
"Tech-Ordinary Diff Equation","Course Total","116","2.717","18.1","17.2","20.7","14.7","13.8","10.3","4.3",".","0.9",".",".",".",".",".",".","."
"","320
002","95","2.884","24.2","17.9","23.2","11.6","11.6","7.4","4.2",".",".",".",".",".",".",".",".","."
"","320
003","72","3.556","56.9","13.9","19.4","5.6","2.8","1.4",".",".",".",".",".",".",".",".",".","."
"","004
320","68","2.632","25.0","8.8","14.7","5.9","30.9","11.8","2.9",".",".",".",".",".",".",".",".","."
"Linear Alg & Diff Equations","Course Total","235","3.017","34.5","14.0","19.6","8.1","14.5","6.8","2.6",".",".",".",".",".",".",".",".","."
"Appl Mathematical Analysis","321
001","38","2.351","13.2","5.3","18.4","21.1","23.7","2.6","13.2","2.6",".",".",".",".",".",".",".","."
"Appl Mathematical Analysis","322
001","13","2.308","15.4",".","46.2",".","7.7","15.4","15.4",".",".",".",".",".",".",".",".","."
"Intro:Prob&Markov Chain Mod","331
001","15","3.000","26.7","13.3","20.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".","."
"","340
002","85","2.735","24.7","7.1","28.2","10.6","16.5","5.9","7.1",".",".",".",".",".",".",".",".","."
"","003
340","58","2.629","22.4","19.0","20.7",".","17.2","10.3","10.3",".",".",".",".",".",".",".",".","."
"Elem Matrix&Linear Algebra","Course Total","143","2.692","23.8","11.9","25.2","6.3","16.8","7.7","8.4",".",".",".",".",".",".",".",".","."
"Linear Algebra","341
001","19","2.639","26.3","5.3","26.3","10.5","10.5",".","15.8","5.3",".",".",".",".",".",".",".","."
"Multi-Var Calc & Linear Alg","375
001","43","3.140","32.6","14.0","23.3","9.3","20.9",".",".",".",".",".",".",".",".",".",".","."
"Appl Dyn Sys, Chaos&Modelng","415
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Single Variable Calc","421
001","24","3.313","37.5","20.8","29.2","8.3",".",".","4.2",".",".",".",".",".",".",".",".","."
"","431
001","25","2.560","20.0","20.0","8.0","12.0","24.0","4.0","12.0",".",".",".",".",".",".",".",".","."
"","431
002","40","2.638","15.0","17.5","25.0","10.0","17.5","7.5","7.5",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","65","2.608","16.9","18.5","18.5","10.8","20.0","6.2","9.2",".",".",".",".",".",".",".",".","."
"Applied Linear Algebra","443
001","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Geometry I","461
001","23","3.370","30.4","30.4","21.7","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"History of Mathematics","473
001","20","3.500","60.0","15.0",".","5.0",".","10.0",".","10.0",".",".",".",".",".",".",".","."
"","475
001","12","3.125","33.3","8.3","33.3",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","475
002","15","3.000","20.0","13.3","33.3","13.3","20.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","27","3.056","25.9","11.1","33.3","7.4","22.2",".",".",".",".",".",".",".",".",".",".","."
"Topics in Undergrad Math","491
001","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521
001","15","3.067","40.0","13.3","20.0",".","13.3","13.3",".",".",".",".",".",".",".",".",".","."
"","521
002","15","3.233","20.0","33.3","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","521
003","17","2.971","35.3","11.8","5.9","17.6","23.5","5.9",".",".",".",".",".",".",".",".",".","."
"","521
004","14","3.143","35.7","7.1","28.6","7.1","21.4",".",".",".",".",".",".",".",".",".",".","."
"Advanced Calculus","Course Total","61","3.098","32.8","16.4","19.7","9.8","16.4","4.9",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","6","2.167",".",".","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"","541
001","22","3.318","40.9","9.1","36.4",".","13.6",".",".",".",".",".",".",".",".",".",".","."
"","541
002","17","3.059","29.4","17.6","23.5","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Modern Algebra","Course Total","39","3.205","35.9","12.8","30.8","7.7","10.3",".","2.6",".",".",".",".",".",".",".",".","."
"","551
001","13","3.231","30.8","30.8","7.7","15.4","15.4",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 254 of 406",""
