"Research and Thesis","Course Total","25","",".",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".","."
"","999
005","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"","999
063","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"Spec Work-Ag & Appl Economics","Course Total","2","***","","","","","","","","","","","","","","","","",""
"A A E
108","Dept. Total","535","3.000","22.2","14.6","29.7","10.7","11.4","3.0","1.9","6.2","0.2",".",".","",".","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","122","2.926","20.5","4.9","41.8","16.4","13.1","0.8","2.5",".",".",".",".","",".",".",".",".","."
"Sophomore","","70","2.726","14.3","14.3","28.6","12.9","21.4","5.7","2.9",".",".",".",".","",".",".",".",".","."
"Junior","","96","2.759","22.9","6.3","29.2","14.6","14.6","7.3","4.2",".","1.0",".",".","",".",".",".",".","."
"Senior","","138","3.009","16.7","23.2","31.9","10.1","11.6","2.9","0.7","2.9",".",".",".","",".",".",".",".","."
"Undergraduates","","426","2.880","18.8","12.7","33.6","13.4","14.3","3.8","2.3","0.9","0.2",".",".","",".",".",".",".","."
"Special","","4","3.667","50.0",".","25.0",".",".",".",".","25.0",".",".",".","",".",".",".",".","."
"Graduate","","104","3.642","35.6","23.1","14.4",".",".",".",".","26.0",".",".",".","",".","1.0",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".","."
"","Dept. Total","535","3.000","22.2","14.6","29.7","10.7","11.4","3.0","1.9","6.2","0.2",".",".","",".","0.2",".",".","."
