"FAM & CONSUMER COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","",""
"100","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"100","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"100","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"100","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"340
Contemp Comm Tech&Soc Effct","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"360","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"360","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Radio","Course Total","","4","***","","","","","","","","","","","","","","","",""
"505
Publications Editing","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Pub Info Campaigns & Progms","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"530
Print&Electronic Media Dsgn","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Independent Study","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"FAM COM
464","Dept. Total","","20","3.850","85.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
