"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","88","2.727","11.4","17.0","19.3","21.6","26.1","3.4","1.1",".",".",".",".",".",".",".",".","."
"","153","001","","9","3.313","22.2","33.3","22.2",".","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"","153","002","","14","3.571","50.0","14.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","153","003","","14","3.500","35.7","28.6","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures I","","Course Total","","37","3.486","37.8","24.3","32.4",".","2.7",".",".","2.7",".",".",".",".",".",".",".","."
"Fashion Illustration","210","001","","11","3.100","27.3","18.2","27.3",".","9.1","9.1",".","9.1",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","19","3.368","15.8","52.6","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221","001","","68","2.806","13.2","16.2","35.3","13.2","8.8","10.3","1.5",".",".",".",".",".","1.5",".",".","."
"Interior Architect Design","223","001","","31","3.355","12.9","45.2","41.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","12","3.458","25.0","50.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","","7","3.000","14.3","14.3","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229","001","","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking-Apparel Design","253","001","","15","3.367","40.0","33.3","13.3",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Design: Sketching&Rendering","320","001","","16","3.594","43.8","37.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design II","322","001","","32","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","","15","3.500","40.0","26.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327","001","","12","3.292","33.3","41.7","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Am Dec Arts & Int: 1620-1840","363","001","","8","2.938","25.0","12.5","50.0",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"European Interiors to 18 C","421","001","","36","2.875","30.6","22.2","8.3","13.9","11.1","5.6","8.3",".",".",".",".",".",".",".",".","."
"Apparel Design II","425","001","","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","","17","3.147","17.6","35.3","29.4","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Dimensions of Material Culture","464","001","","14","3.385","28.6","21.4","35.7","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"Special Topics","501","001","","13","3.269","7.7","46.2","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Placemaking","545","001","","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile:Spec & End Use Anal","561","001","","22","3.318","13.6","45.5","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601","015","","7","3.969","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design IV","623","001","","19","3.395","31.6","47.4","15.8",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Portfolio Preparation","624","001","","22","3.273","22.7","36.4","36.4",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Housing Envrs-Older People","630","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Interior&Arch Dsgn Visualz","633","001","","11","4.000","81.8",".",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Comparative World Costume","655","001","","24","3.208","33.3","16.7","29.2","8.3","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","691","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","699","000B","","21","3.800","61.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","000C","","21","3.527","23.8","52.4","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","000E","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","000F","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","000D","","8","3.472","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 143 of 406",""
