"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Evolution,Ecology,&Genetics","301
001","122","3.520","53.3","13.1","27.9","2.5","0.8","1.6","0.8",".",".",".",".",".",".",".",".","."
"","302
001","18","3.722","61.1","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","22","3.500","45.5","9.1","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
003","24","3.292","29.2","16.7","45.8",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","302
004","19","3.316","21.1","21.1","57.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
005","22","3.341","18.2","36.4","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Evol,Ecol,&Genetics Lab","Course Total","105","3.424","34.3","21.0","41.9","1.0","1.9",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology","323
001","81","3.300","27.2","14.8","50.6","2.5","3.7",".",".","1.2",".",".",".",".",".",".",".","."
"","324
001","8","3.857","62.5","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","324
002","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology Lab","Course Total","31","3.850","71.0","22.6","3.2",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"","699
001","21","3.957","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","25","3.964","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","364","3.475","46.4","15.7","33.2","1.6","1.6","0.5","0.3","0.5",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Sophomore","","113","3.378","34.5","21.2","38.1","2.7","1.8","0.9","0.9",".",".",".",".",".",".",".",".","."
"Junior","","159","3.521","49.7","14.5","32.7","0.6","1.9","0.6",".",".",".",".",".",".",".",".",".","."
"Senior","","89","3.507","55.1","11.2","29.2","2.2","1.1",".",".","1.1",".",".",".",".",".",".",".","."
"Undergraduates","","361","3.472","46.3","15.8","33.5","1.7","1.7","0.6","0.3","0.3",".",".",".",".",".",".",".","."
"Special","","3","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","Dept. Total","364","3.475","46.4","15.7","33.2","1.6","1.6","0.5","0.3","0.5",".",".",".",".",".",".",".","."
