"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"438
Communication Systems Lab I","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
E&M Fields and Waves","001","","26","3.460","46.2","11.5","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","3.8"
"462
Medical Instrumentation","001","","11","3.364","27.3","36.4","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"463
Computers in Medicine","001","","24","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"468
Computer Proj in Cntrl&Inst","001","","31","3.742","64.5","19.4","16.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"491","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","Course Total","","5","***","","","","","","","","","","","","","","","",""
"511","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"511","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"511","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Synchronous Machines","Course Total","","5","***","","","","","","","","","","","","","","","",""
"512
Power Electronics Lab","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"527
Plasma Confinement&Heating","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"528
Plasma Processng & Technlgy","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"533
Image Processing","001","","21","3.119","19.0","23.8","33.3","9.5","14.3",".",".",".",".",".",".",".",".",".",".","."
"536
Integrated Optics&Optoelect","001","","11","3.625","45.5","9.1","9.1","9.1",".",".",".","18.2",".",".",".",".",".",".",".","9.1"
"548
Integrated Circuit Design","001","","12","3.682","50.0","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"551
Digital Sys Design & Synthesis","001","","32","3.094","28.1","25.0","15.6","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"552
Intro-Computer Architecture","002","","20","3.395","30.0","20.0","40.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"553
Testing Desgn - Digital Sys","001","","22","3.476","27.3","45.5","18.2",".","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"554
Digital Engineering Lab","001","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"555
Digital Circuits&Components","001","","25","2.820","16.0","16.0","8.0","36.0","24.0",".",".",".",".",".",".",".",".",".",".","."
"602","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"602","002","","11","3.722","45.5","27.3","9.1",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"Spec Topics-Elec&Comptr Eng","Course Total","","15","3.808","60.0","20.0","6.7",".",".",".",".","6.7",".",".",".",".","6.7",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","14","3.809","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
