"DANCE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"","1
001","","28","3.964","96.4",".","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","","38","3.974","97.4",".","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","11
001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","11
002","","19","3.789","94.7",".",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Modern Dance I","Course Total","","32","3.797","81.3","15.6",".",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"Modern Dance Technique I","111
001","","14","3.750","42.9","42.9",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Modern Dance II","12
001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","","20","3.472","40.0","20.0","15.0","15.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Rhythmic Training for Dancers","144
001","","16","3.844","87.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","151
001","","10","3.500","50.0","40.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","153
001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","167
001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production","170
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","171
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","177
001","","30","3.870","70.0","16.7","3.3",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","177
002","","27","3.900","81.5","7.4",".","3.7",".",".",".","7.4",".",".",".",".",".",".",".","."
"African Dance","Course Total","","57","3.885","75.4","12.3","1.8","1.8",".",".",".","8.8",".",".",".",".",".",".",".","."
"Ballet I","21
001","","25","3.833","60.0","20.0","4.0",".",".",".",".","12.0",".",".",".",".",".","4.0",".","."
"Modern Dance Technique III","211
001","","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique IV","212
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22
001","","18","3.794","61.1","27.8","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Ballet Technique II","225
001","","19","3.139","21.1","31.6","21.1","15.8",".",".","5.3","5.3",".",".",".",".",".",".",".","."
"African Dance Performance","277
001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance","31
001","","21","3.775","61.9","23.8","9.5",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"Modern Dance Technique V","311
001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","32
001","","21","3.525","42.9","23.8","23.8",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","32
002","","25","3.708","60.0","20.0","12.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"Modern Jazz Dance II","Course Total","","46","3.625","52.2","21.7","17.4","2.2","2.2",".",".","4.3",".",".",".",".",".",".",".","."
"Ballet Technique III","325
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance","353
001","","6","2.833","50.0",".",".","33.3",".",".","16.7",".",".",".",".",".",".",".",".","."
"Dance Composition II","355
001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
002","","6","3.417","16.7","66.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","399
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
015","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Project","Course Total","","18","3.429","61.1","27.8",".","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","41
001","","34","3.919","76.5","14.7",".",".",".",".",".","8.8",".",".",".",".",".",".",".","."
"","41
002","","36","3.806","55.6","27.8","2.8",".",".",".",".","13.9",".",".",".",".",".",".",".","."
"","41
003","","35","3.823","62.9","20.0","5.7",".",".",".",".","11.4",".",".",".",".",".",".",".","."
"","004
41","","36","3.767","66.7","5.6","8.3",".",".","2.8",".","16.7",".",".",".",".",".",".",".","."
"","41
005","","38","3.722","76.3","2.6","2.6","7.9","5.3",".",".","5.3",".",".",".",".",".",".",".","."
