"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Undergraduate Thesis","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
Undergraduate Thesis","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"693","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Behavior Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"694","011","","11","3.912","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"694","016","","39","3.908","89.7","2.6","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Developmental Psych","Course Total","","55","3.914","89.1","5.5","5.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"695","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"695","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","029","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","040","","15","3.976","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"695","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"695","069","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Clinical Psychology","Course Total","","52","3.993","98.1","1.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","023","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","058","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Human Behavior","Course Total","","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","047","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","29","3.956","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Prosmr-Experimental Psych","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Prosmr in Social Psychology","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"704
Proseminar-Clinical Psych","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"706
Prosmr-Developmental Psych","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"707
Proseminar-Biological Psych","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"711
Current Topics in Psych","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"733","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 286 of 406",""
