"","LANGUAGES & CULTURES OF A Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultures of Asia","100","001","107","3.558","43.9","30.8","15.0","1.9","4.7",".",".","2.8",".",".",".",".","0.9",".",".","."
"Islam Wrld:MidEast,500-1500","205","001","7","3.463","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236","001","15","3.133","33.3","40.0","13.3",".",".",".","13.3",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","9","2.944","22.2","22.2","33.3","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","273","001","22","3.068","13.6","40.9","18.2",".","27.3",".",".",".",".",".",".",".",".",".",".","."
"","300","001","64","3.637","51.6","32.8","7.8","3.1",".",".","1.6","3.1",".",".",".",".",".",".",".","."
"","300","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in LCA","","Course Total","69","3.582","49.3","30.4","8.7","7.2",".",".","1.4","2.9",".",".",".",".",".",".",".","."
"Modern Indian Literatures","311","001","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hinduism","355","001","24","3.458","29.2","54.2","8.3","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","33","3.429","45.5","15.2","15.2","3.0",".","3.0","3.0","12.1",".",".",".",".","3.0",".",".","."
"Cities of Asia","379","001","16","3.300","18.8","31.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".","6.3","."
"Southeast Asian Literature","403","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Turkish Literature","413","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Language and Culture","430","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang&Society-Southeast Asia","441","001","27","3.135","33.3","14.8","25.9","11.1","3.7","3.7","3.7","3.7",".",".",".",".",".",".",".","."
"Buddhist Thought","466","001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Buddhism and Literature","576","001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fiction&Ethnography in Turkey","579","001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Structrs-Muslim Society","614","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in Buddhist Thought","650","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Politics of South Asia","651","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Structure of Thai","671","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","000A","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","000B","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","","Section Total","6","3.778","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","10","3.846","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Classical Hinduism","718","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","037","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","044","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","11.1"
"Smr:Interdis Approachs to Asia","815","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Turkic Studies","850","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 240 of 406",""
