"","990
032","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
034","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","62","",".",".",".",".",".",".",".","82.3","1.6",".",".","12.9","",".",".","3.2","."
"Seminar: Geophysics","991
001","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".","",".",".","."
"GEOLOGY
420","Dept. Total","1733","2.999","24.6","16.7","22.3","11.1","11.9","3.5","2.1","6.5","0.1","0.1",".","0.5","",".","0.1","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","196","2.713","18.4","8.2","32.7","14.3","16.8","4.6","5.1",".",".",".",".",".","",".",".",".","."
"Sophomore","","455","2.885","17.8","18.5","27.5","14.3","14.7","5.1","1.5",".",".","0.2",".",".","",".",".","0.4","."
"Junior","","347","2.965","20.5","19.9","26.5","11.0","14.1","5.2","1.2","1.2",".",".",".",".","",".","0.3","0.3","."
"Senior","","500","3.105","28.0","20.0","19.0","11.6","11.6","2.2","2.6","4.4",".","0.2",".","0.2","",".",".","0.2","."
"Undergraduates","","1498","2.946","21.9","18.0","25.1","12.6","13.8","4.1","2.3","1.7",".","0.1",".","0.1","",".","0.1","0.3","."
"Special","","14","2.607","28.6","7.1","7.1",".",".",".","14.3","21.4",".",".",".",".","",".",".","21.4","."
"Graduate","","220","3.716","42.7","8.6","4.1","1.8",".",".",".","37.7","0.5",".",".","3.6","",".",".","0.9","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","1733","2.999","24.6","16.7","22.3","11.1","11.9","3.5","2.1","6.5","0.1","0.1",".","0.5","",".","0.1","0.5","."
