"","999
012","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
013","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
014","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"URB R PL
944","Dept. Total","198","3.474","35.4","33.3","22.2","3.0","2.0","",".","",".","3.0","",".",".","",".","0.5","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","9","3.056","11.1","11.1","55.6","22.2",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","11","3.136","9.1","36.4","27.3","27.3",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","16","3.057","6.3","43.8","25.0",".","18.8","",".","",".","6.3","",".",".","",".",".",".",".",".","."
"Undergraduates","","37","3.080","8.1","32.4","35.1","13.5","8.1","",".","",".","2.7","",".",".","",".",".",".",".",".","."
"Special","","5","3.500","40.0","20.0","40.0",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","156","3.596","41.7","34.0","18.6","0.6","0.6","",".","",".","3.2","",".",".","",".","0.6","0.6",".",".","."
"","Dept. Total","198","3.474","35.4","33.3","22.2","3.0","2.0","",".","",".","3.0","",".",".","",".","0.5","0.5",".",".","."
