"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Hum Sexuality-Soc,Psych Iss","160
001","187","3.072","18.7","24.1","28.3","17.1","9.6","1.1","1.1",".",".",".",".",".",".",".",".","."
"","202
001","288","2.693","15.6","16.3","13.5","26.4","17.0","6.3","3.8","1.0",".",".",".",".",".",".",".","."
"","002
202","323","2.898","18.6","20.1","12.1","28.8","16.7","2.5","0.9",".",".",".",".",".",".",".",".","0.3"
"","202
003","202","2.617","16.3","16.3","12.4","15.3","23.8","14.9","0.5",".","0.5",".",".",".",".",".",".","."
"","004
202","334","2.606","16.8","10.5","20.7","12.0","26.3","12.3","1.5",".",".",".",".",".",".",".",".","."
"","005
202","330","2.678","17.3","18.2","11.2","16.1","25.2","9.4","2.1","0.6",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","1477","2.704","17.0","16.2","14.2","19.8","21.8","8.7","1.8","0.3","0.1",".",".",".",".",".",".","0.1"
"","210
001","60","2.822","23.3","5.0","28.3","16.7","16.7","6.7","1.7","1.7",".",".",".",".",".",".",".","."
"","210
002","54","2.556","14.8","11.1","22.2","14.8","24.1","5.6","7.4",".",".",".",".",".",".",".",".","."
"","210
003","59","2.610","15.3","6.8","28.8","6.8","33.9","5.1","3.4",".",".",".",".",".",".",".",".","."
"","210
004","57","2.807","28.1","5.3","21.1","12.3","22.8","10.5",".",".",".",".",".",".",".",".",".","."
"","210
005","54","2.877","18.5","11.1","35.2","9.3","18.5","3.7","1.9","1.9",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","284","2.734","20.1","7.7","27.1","12.0","23.2","6.3","2.8","0.7",".",".",".",".",".",".",".","."
"","211
001","19","3.500","36.8","26.3","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
002","24","3.542","45.8","25.0","25.0",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Freshman Seminar in Psychology","Course Total","43","3.523","41.9","25.6","30.2",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"","225
001","47","2.713","14.9","4.3","29.8","14.9","34.0","2.1",".",".",".",".",".",".",".",".",".","."
"","225
002","45","2.400","2.2","11.1","20.0","11.1","51.1","2.2","2.2",".",".",".",".",".",".",".",".","."
"","003
225","46","2.707","8.7","13.0","30.4","19.6","23.9","2.2","2.2",".",".",".",".",".",".",".",".","."
"","004
225","45","2.600","15.6","6.7","26.7","11.1","28.9","8.9","2.2",".",".",".",".",".",".",".",".","."
"Experimental Psychology","Course Total","183","2.607","10.4","8.7","26.8","14.2","34.4","3.8","1.6",".",".",".",".",".",".",".",".","."
"Honors Basic Stats for Psych","280
001","24","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Crse-Intro to Psych","281
002","18","3.722","61.1","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Psychology","311
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","8","2.750","12.5","12.5","37.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"","386
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Psych for Honors","Course Total","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Perception","406
001","84","2.884","25.0","11.9","26.2","11.9","14.3","9.5","1.2",".",".",".",".",".",".",".",".","."
"Intermed Stats for Psychology","410
001","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","411
003","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
005","25","3.440","28.0","44.0","16.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"","411
006","26","3.462","26.9","38.5","34.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
015","24","3.333","16.7","41.7","37.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","411
042","26","3.635","50.0","34.6","11.5",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","411
048","24","3.500","41.7","33.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","411
050","23","3.152","17.4","21.7","52.2",".","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","411
062","22","3.667","72.7","9.1",".",".","13.6",".",".","4.5",".",".",".",".",".",".",".","."
"","411
066","19","3.605","63.2","15.8","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","411
070","19","3.474","42.1","26.3","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","411
072","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
078","18","3.676","61.1","16.7","11.1",".","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","252","3.522","44.0","28.2","20.6","1.6","4.0","0.8",".","0.8",".",".",".",".",".",".",".","."
