"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"","102
001","17","3.118","11.8","47.1","29.4",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","102
002","19","3.579","42.1","52.6",".",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Humanities","Course Total","36","3.361","27.8","50.0","13.9",".","2.8","2.8","2.8",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Natural Sci","104
001","19","3.500","47.4","21.1","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","106
001","18","3.528","50.0","22.2","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","106
002","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Social Sci","Course Total","34","3.647","58.8","20.6","14.7","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Smr: Soc Sci, Ethnic St","118
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","12","3.931","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","9","3.921","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","16","3.972","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","14","3.879","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
250","16","3.806","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","14","3.813","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","14","3.966","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
250","12","3.646","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","13","3.887","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","120","3.872","78.3","17.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Paradigms&Process-Acad Inquiry","315
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"L&S Junior/Senior Seminar","400
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","7","3.967","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Grad Stdts in Teaching","Course Total","12","3.981","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"INTER-LS
502","Dept. Total","258","3.745","70.2","19.8","7.4","0.8","1.2","0.4","0.4",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","148","3.619","55.4","27.7","12.2","1.4","2.0","0.7","0.7",".",".",".",".",".",".",".",".","."
"Sophomore","","63","3.918","85.7","12.7","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","26","3.982","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","245","3.734","69.0","20.4","7.8","0.8","1.2","0.4","0.4",".",".",".",".",".",".",".",".","."
"Graduate","","12","3.981","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","258","3.745","70.2","19.8","7.4","0.8","1.2","0.4","0.4",".",".",".",".",".",".",".",".","."
