"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"155
Intro to Biology of Aging","001","","15","2.900","26.7",".","33.3","6.7","33.3",".",".",".",".",".",".",".",".",".",".","."
"380
Contemp Populatn Probs-Honors","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"502
Air Pollution&Human Health","001","","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"553
Internl Hlth & Global Society","001","","9","3.444","44.4","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"650","034","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","038","","23","3.720","47.8","52.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","41","3.841","70.7","29.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
"718
International Health Systems","001","","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"719
Smr-Contemp Iss:Health Care","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"780
Public Hlth: Principles&Pract","001","","32","3.790","59.4","34.4","3.1",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"794
Biol Basis-Population Health","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"795
Principles-Populatn Health Sci","001","","29","3.828","75.9","13.8","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"797
Introduction to Epidemiology","001","","72","3.618","47.2","31.9","18.1","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"802
Adv Epidemiol: Etiol&Preventn","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Graduate Research Seminar","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Assess-Medical Technologies","001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Quant Meth-Populatn Health II","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"904","001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"904","004","","22","4.000","95.5",".",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Special Topics-Epidemiology","Course Total","","38","3.973","92.1","5.3",".",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"911","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"911","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"911","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Epidemiol Elect-Div of Hlth","Course Total","","3","***","","","","","","","","","","","","","","","",""
"913","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"913","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Chem-Newborn-StateLab","Course Total","","2","***","","","","","","","","","","","","","","","",""
"914
IndTrng&ExpClinLab-StateLab","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","011","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 370 of 406",""
