"","990
071","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
081","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
084","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","18","",".",".",".",".",".","",".","",".","94.4","",".",".",".","5.6","",".",".",".","."
"POP HLTH
810","Dept. Total","400","3.770","68.0","17.0","7.8","1.0","1.3","",".","",".","4.8","",".",".",".","0.3","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","2.833","33.3",".",".","33.3","33.3","",".","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","2","2.500",".",".","50.0",".","50.0","",".","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","47","3.634","63.8","10.6","17.0","2.1","6.4","",".","",".",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","52","3.564","59.6","9.6","17.3","3.8","9.6","",".","",".",".","",".",".",".",".","",".",".",".","."
"Special","","46","3.712","63.0","19.6","10.9","2.2",".","",".","",".","4.3","",".",".",".",".","",".",".",".","."
"Graduate","","163","3.793","65.0","17.2","6.7","0.6",".","",".","",".","9.8","",".",".",".","0.6","",".",".",".","."
"Prof Yr 1","","10","3.933","90.0","10.0",".",".",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 2","","5","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","6","3.909","83.3","16.7",".",".",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 4","","118","3.842","73.7","20.3","5.1",".",".","",".","",".","0.8","",".",".",".",".","",".",".",".","."
"Professionals","","139","3.854","76.3","18.7","4.3",".",".","",".","",".","0.7","",".",".",".",".","",".",".",".","."
"","Dept. Total","400","3.770","68.0","17.0","7.8","1.0","1.3","",".","",".","4.8","",".",".",".","0.3","",".",".",".","."
