"COLLABORATIVE NURSING PRG Section","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","","","","",""
"306
001
Narrative Anal-Nursing Prac","","16","3.767","56.3","31.3","6.3",".",".",".",".","",".","",".","",".",".","",".","","6.3",".",".","."
"317
003
Health Assessment","","8","3.625","25.0","75.0",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".","."
"341
003
Theoretical Foundations","","15","3.733","66.7","20.0","6.7","6.7",".",".",".","",".","",".","",".",".","",".","",".",".",".","."
"434
003
Nursing Research","","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"437
003
Mgmt & Leadershp in Nursing","","5","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"444
003
Community Health Nursing","","13","3.731","53.8","38.5","7.7",".",".",".",".","",".","",".","",".",".","",".","",".",".",".","."
"490
020","","10","3.300","50.0","20.0","10.0",".","10.0","10.0","",".",".","",".","",".",".","",".","",".",".",".","."
"490
023","","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"490
028","","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Special Topics in Nursing","","16","3.393","43.8","18.8","12.5",".","6.3","6.3","",".","",".","",".",".","",".","",".","12.5",".",".","."
"519
001
Capstone Practicum for RN's","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"CNP
Dept. Total
691","","78","3.656","52.6","30.8","7.7","2.6","1.3","1.3","",".","",".","",".",".","",".","",".","3.8",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","3.800","50.0","25.0",".",".",".",".","",".","",".","",".",".","",".","",".","25.0",".",".","."
"Junior","","29","3.784","58.6","37.9","3.4",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","44","3.568","50.0","25.0","11.4","4.5","2.3","2.3","",".","",".","",".",".","",".","",".","4.5",".",".","."
"Undergraduates","","77","3.658","53.2","29.9","7.8","2.6","1.3","1.3","",".","",".","",".",".","",".","",".","3.9",".",".","."
"Special","","1","3.500",".","100.0",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Dept. Total","","78","3.656","52.6","30.8","7.7","2.6","1.3","1.3","",".","",".","",".",".","",".","",".","3.8",".",".","."
