"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Hematology","703
062","166","3.233","21.7","19.9","44.6","9.6","3.6",".",".",".",".",".",".",".",".",".",".","0.6"
"Cardiovascular System","706
044","164","3.625","45.7","36.0","16.5","1.2","0.6",".",".",".",".",".",".",".",".",".",".","."
"Respiratory System","715
001","164","3.429","38.4","15.2","40.9","3.0","1.8",".",".",".",".",".",".",".",".",".",".","0.6"
"Pharmacology I","717
001","165","3.733","65.5","17.0","17.0",".","0.6",".",".",".",".",".",".",".",".",".",".","."
"Smr-Contemp Iss:Health Care","719
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neoplastic Diseases","721
035","171","3.570","57.9","7.6","30.4","1.2","2.3",".","0.6",".",".",".",".",".",".",".",".","."
"Med Spanish for Hlth Sci Stdts","735
001","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Patient, Doctor & Society I","800
001","151","3.844","74.8","19.9","4.6","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Patient, Doctor & Society 3","806
001","161","3.938","88.8","9.9","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"MED SC-M
622","Dept. Total","1167","3.608","54.6","17.6","22.0","2.2","1.3",".","0.1",".",".","2.1",".",".",".",".",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Senior","","4","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Undergraduates","","4","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 1","","164","3.840","68.9","18.9","4.3","0.6",".",".",".",".",".","7.3",".",".",".",".",".","."
"Prof Yr 2","","989","3.596","52.5","17.6","25.1","2.5","1.5",".","0.1",".",".","0.5",".",".",".",".",".","0.2"
"Prof Yr 3","","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Yr 4","","2","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Professionals","","1156","3.608","54.7","17.7","22.1","2.2","1.3",".","0.1",".",".","1.7",".",".",".",".",".","0.2"
"","Dept. Total","1167","3.608","54.6","17.6","22.0","2.2","1.3",".","0.1",".",".","2.1",".",".",".",".",".","0.2"
