"","699
015","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
016","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
017","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Studies","Course Total","19","3.962","94.7","5.3",".",".",".",".",".","",".",".",".","",".","",".",".",".",".","."
"BIOLOGY
205","Dept. Total","632","2.884","24.4","10.3","29.4","6.6","18.7","3.6","1.4","",".","0.2","4.9","",".","",".","0.2",".","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","85","2.682","11.8","14.1","18.8","5.9","18.8","4.7","1.2","",".",".","23.5","",".","",".",".",".",".","1.2"
"Sophomore","","355","2.858","20.6","9.0","36.1","8.2","19.7","3.7","0.8","",".",".","1.7","",".","",".",".",".","0.3","."
"Junior","","119","2.894","24.4","13.4","26.9","5.9","17.6","3.4","3.4","",".","0.8","3.4","",".","",".","0.8",".",".","."
"Senior","","56","3.166","53.6","7.1","12.5","1.8","19.6","3.6",".","",".",".","1.8","",".","",".",".",".",".","."
"Undergraduates","","615","2.876","23.1","10.4","29.8","6.8","19.2","3.7","1.3","",".","0.2","5.0","",".","",".","0.2",".","0.2","0.2"
"Special","","7","3.023","28.6","14.3","42.9",".",".",".","14.3","",".",".",".","",".","",".",".",".",".","."
"Graduate","","10","4.000","100.0",".",".",".",".",".",".","",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","632","2.884","24.4","10.3","29.4","6.6","18.7","3.6","1.4","",".","0.2","4.9","",".","",".","0.2",".","0.2","0.2"
