"","990
109","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
111","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","99","",".",".",".",".",".",".",".","91.9","",".",".",".","8.1","",".",".",".","."
"Seminar in Genetics","993
001","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"GENETICS
412","Dept. Total","774","3.217","47.0","9.2","9.9","7.0","8.3","4.1","1.4","11.9","",".",".",".","1.0","",".","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","11","2.929","36.4","18.2","9.1",".","36.4",".",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","119","3.353","68.1","6.7","4.2","6.7","7.6","3.4","2.5",".","",".",".",".",".","",".","0.8",".","."
"Junior","","209","3.257","57.9","7.7","10.0","11.0","8.6","3.8","1.0",".","",".",".",".",".","",".",".",".","."
"Senior","","279","3.059","45.9","9.7","15.8","7.9","11.5","7.2","2.2",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","618","3.176","54.0","8.6","11.5","8.6","10.2","5.2","1.8",".","",".",".",".",".","",".","0.2",".","."
"Special","","7","3.417","57.1",".",".","14.3","14.3",".",".","14.3","",".",".",".",".","",".",".",".","."
"Graduate","","147","3.710","17.7","12.2","4.1",".",".",".",".","61.2","",".",".",".","4.8","",".",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".",".",".","",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".",".","",".",".",".","100.0","",".",".",".","."
"Professionals","","2","",".",".",".",".",".",".",".","50.0","",".",".",".","50.0","",".",".",".","."
"","Dept. Total","774","3.217","47.0","9.2","9.9","7.0","8.3","4.1","1.4","11.9","",".",".",".","1.0","",".","0.1",".","."
