"","370
001","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","370
003","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","370
004","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Interdivisional Topics","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","",""
"STDYABRD
SAB","Dept. Total","","40","3.490","32.5","20.0","5.0","",".","7.5","",".","",".","35.0","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"SAB STDYABRD","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","3.500",".","100.0",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","13","3.289","30.8","15.4","7.7","",".","15.4","",".","",".","30.8","",".",".","",".","",".","",".",".",".","."
"Senior","","","23","3.590","30.4","17.4","4.3","",".","4.3","",".","",".","43.5","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","37","3.462","29.7","18.9","5.4","",".","8.1","",".","",".","37.8","",".",".","",".","",".","",".",".",".","."
"Special","","","3","3.813","66.7","33.3",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","40","3.490","32.5","20.0","5.0","",".","7.5","",".","",".","35.0","",".",".","",".","",".","",".",".",".","."
