"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"449
Animal Behavior","001","","98","2.806","15.3","13.3","29.6","13.3","24.5","2.0","2.0",".",".",".",".",".",".",".",".","."
"486
Honors: Psych of Perception","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"509
Abnormal Psychology","001","","356","2.660","18.8","9.3","20.8","11.8","29.2","6.5","3.1","0.6",".",".",".",".",".",".",".","."
"511
Behavior Pathology:Neuroses","001","","151","3.252","37.7","19.9","18.5","9.3","6.0","5.3","0.7","2.6",".",".",".",".",".",".",".","."
"517","001","","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"517","002","","26","3.904","88.5","3.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Clinical Psych","Course Total","","50","3.920","90.0","4.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"522
Psychology of Women","001","","31","3.468","41.9","19.4","29.0","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"523
Neurobiology","001","","27","3.370","37.0","22.2","25.9","7.4","7.4",".",".",".",".",".",".",".",".",".",".","."
"530","002","","62","3.295","35.5","17.7","27.4","8.1","8.1","1.6",".","1.6",".",".",".",".",".",".",".","."
"530","003","","130","2.969","20.8","10.0","36.2","14.6","14.6","2.3","0.8",".",".",".",".",".","0.8",".",".","."
"Intro-Social Psychology","Course Total","","192","3.095","25.5","12.5","33.3","12.5","12.5","2.1","0.5","0.5",".",".",".",".","0.5",".",".","."
"610
Stat Anal-Psych Experiments","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","002","","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","003","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","007","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Topics","Course Total","","101","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619
Biology of Mind","001","","16","3.233","25.0","18.8","37.5",".","12.5",".",".","6.3",".",".",".",".",".",".",".","."
"652
Sociotechnical Systems","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"653
Organization and Job Design","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".","5.9",".",".",".","."
"682
Senior Honors Thesis","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"686
Honors Seminar in Psych","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"691","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 285 of 406",""
