"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106","001","46","2.756","10.9","21.7","21.7","13.0","26.1",".","4.3",".",".",".",".",".",".","2.2",".","."
"Envr St-Humanistic Perspctv","113","001","248","3.288","15.3","46.4","22.2","9.7","2.4","0.4","0.8","0.8",".",".",".",".","0.4","0.4","1.2","."
"","120","001","32","3.047","12.5","21.9","43.8","12.5","6.3","3.1",".",".",".",".",".",".",".",".",".","."
"","120","002","47","2.670","10.6","8.5","29.8","27.7","14.9","6.4","2.1",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","79","2.823","11.4","13.9","35.4","21.5","11.4","5.1","1.3",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","53","3.085","20.8","22.6","24.5","17.0","15.1",".",".",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","40","3.829","67.5","22.5","5.0",".",".",".",".","2.5",".",".",".",".",".","2.5",".","."
"Physical Systems of Envr","127","001","31","2.887","22.6","19.4","16.1","9.7","29.0",".","3.2",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","16","3.733","56.3","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"Insects and Human Culture","201","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","8","3.438","50.0","12.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307","001","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315","001","27","2.648","14.8","3.7","48.1","7.4","11.1","7.4","7.4",".",".",".",".",".",".",".",".","."
"Soils and Envrnmtl Quality","324","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","339","001","45","3.122","17.8","24.4","33.3","13.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"","339","002","33","2.773","6.1","15.2","48.5","6.1","18.2","3.0","3.0",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","78","2.974","12.8","20.5","39.7","10.3","14.1","1.3","1.3",".",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","20","2.864","10.0","20.0","30.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"History of Ecology","353","001","21","3.450","33.3","23.8","33.3","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","21","3.262","23.8","38.1","28.6","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","6","3.417","50.0",".","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Field Ecology Workshop","375","001","18","3.611","33.3","61.1",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","001","24","3.478","50.0","16.7","25.0",".",".",".","4.2","4.2",".",".",".",".",".",".",".","."
"","400","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","004","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","005","26","3.327","38.5","23.1","26.9","3.8","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"","400","006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","","Course Total","64","3.410","42.2","23.4","26.6","1.6","1.6",".","3.1","1.6",".",".",".",".",".",".",".","."
"Energy Resources","411","001","26","3.154","11.5","30.8","42.3","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"World Forest History","452","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Impact-Livestock Operatn","468","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Air Pollution&Human Health","502","001","32","3.790","68.8","15.6","12.5",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Modlng&Analysis of Envr Sys","506","001","12","3.800","58.3","16.7","8.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Philos Prblms-Biol Sciences","523","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Air Resources Science & Policy","539","001","11","3.273","36.4","18.2","36.4",".",".","9.1",".",".",".",".",".",".",".",".",".","."
