"","991
076","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","991
082","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","991
094","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Reading","Course Total","52","3.371","32.7","25.0","9.6","1.9","1.9",".",".","21.2","",".",".","",".","",".","3.8",".",".","."
"LAW
528","Dept. Total","4311","1.951","20.9","4.9","18.2","0.4","2.4","0.6","0.1","18.1","",".",".","",".","",".","0.3",".","0.2","0.9"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","5","3.792","60.0","40.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","5","3.792","60.0","40.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Special","","66","2.097","22.7","1.5","19.7",".","10.6",".",".","9.1","",".",".","",".","",".","4.5",".","4.5","."
"Graduate","","175","3.621","47.4","29.7","17.7","2.3",".","0.6",".","1.7","",".",".","",".","",".",".",".","0.6","."
"Prof Yr 1","","1463","1.312","8.7",".","28.5",".","3.8","0.1",".","0.8","",".",".","",".","",".","0.2",".",".","."
"Prof Yr 2","","1297","1.362","12.2","0.4","12.5","0.3","2.6","0.6","0.2","28.8","",".",".","",".","",".","0.4",".","0.1","1.8"
"Prof Yr 3","","1267","3.493","40.6","12.0","12.7","0.6","0.4","1.3","0.2","27.6","",".",".","",".","",".","0.1",".","0.3","1.1"
"Prof Yr 4","","38","",".",".",".",".",".",".",".","97.4","",".",".","",".","",".","2.6",".",".","."
"Professionals","","4065","1.873","19.7","3.9","18.2","0.3","2.3","0.7","0.1","19.0","",".",".","",".","",".","0.2",".","0.1","0.9"
"","Dept. Total","4311","1.951","20.9","4.9","18.2","0.4","2.4","0.6","0.1","18.1","",".",".","",".","",".","0.3",".","0.2","0.9"
