"JEWISH STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","",""
"Topics in Jewish Studies","202
001","22","3.045","22.7","4.5","45.5","22.7",".","4.5",".",".",".",".",".",".",".",".",".","."
"Introduction to Judaism","211
001","71","3.399","12.7","64.8","15.5","1.4","1.4",".","1.4","2.8",".",".",".",".",".",".",".","."
"The American Jewish Experience","219
001","30","3.100","6.7","26.7","50.0","13.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227
001","17","3.406","29.4","35.3","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","5.9"
"Intro-Biblical Archaeology","241
001","18","3.176","22.2","11.1","44.4","11.1","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"The Jews, States, & Citizenshp","258
001","15","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","301
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Jewish Civilization","371
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Moral Philos & the Holocaust","442
001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Educ & Jewish Civilization","475
001","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
002","6","3.400",".","66.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","490
003","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Jewish Studies","Course Total","18","3.794","61.1","27.8","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Biblical Texts, Poetry","513
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515
001","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Israeli Politics and Society","665
001","13","2.538",".","38.5","7.7","38.5",".",".","15.4",".",".",".",".",".",".",".",".","."
"JEWISH
510","Dept. Total","241","3.340","26.6","35.7","24.5","7.5","2.1","0.4","1.2","1.7",".",".",".",".",".",".",".","0.4"
