"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"300","001","","96","3.734","65.6","22.9","6.3","3.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"300","002","","93","3.909","87.1","9.7","2.2",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","","189","3.820","76.2","16.4","4.2","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"330
Behav Anal:Person-Disabilty","001","","27","3.759","59.3","33.3","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Acad Instr:Learn & Behav Disab","001","","26","3.519","46.2","34.6","7.7","7.7",".","3.8",".",".",".",".",".",".",".",".",".","."
"470
Indiv/Learn & Behav Disability","001","","28","3.679","50.0","39.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"471","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"471","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"471","003","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth&Curric:Lrn&Bhv Disabl,K-9","Course Total","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"472
Mth&Curric:Lrn&Bhv Dis, 6-12","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"473
Mgmt: Stdts/Lrn&Bhv Disability","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"474
Diagnosis&Assessmt:Lrn&Bhv Dis","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"475","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"475","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"475","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"476","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"476","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract:Stdts/Lrn&Bhv Dis, 6-12","Course Total","","3","***","","","","","","","","","","","","","","","",""
"477","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"477","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"477","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"478
Stdt Teach:Lrn & Bhv Dis, 6-12","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"500
Rehab-Cnslg Psych: Foundatn","001","","30","3.767","66.7","26.7","3.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"501
Rehab-Cnslg Psych: Applcatn","001","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Bio,Psych,&Voc Aspt-Disabil","001","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
Strategy-Inclusive Schoolng","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"540
Assessmnt Adults-Disablties","001","","21","3.833","71.4","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Rehab Psych-Psycho-Soc Asp","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","019","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Intro-Augmentative Commun","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"660
Special Topics","014","","10","3.700","70.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"690","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"690","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"690","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 74 of 406"
