"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","808
001","6","2.667","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
002","8","2.313","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
004","6","3.000","50.0",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","808
006","8","3.071","12.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Advanced Legal Writing","Course Total","43","2.871","51.2","14.0","7.0",".",".",".",".","2.3",".",".",".",".",".",".","2.3","."
"","815
001","12","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","815
002","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
003","12","4.000","8.3",".",".",".",".",".",".","91.7",".",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","35","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"","817
001","80","1.981","21.3","3.8","32.5",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"","817
002","57","2.093","26.3","3.5","24.6",".","3.5",".",".","5.3",".",".",".",".",".",".",".","."
"Business Organizations I","Course Total","137","2.026","23.4","3.6","29.2",".","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"Family Law I","822
001","44","2.354","27.3","9.1","18.2","2.3","9.1",".",".","6.8",".",".",".",".",".",".",".","."
"International Law","827
001","26","2.750","42.3",".","11.5",".","3.8",".",".","23.1",".",".",".",".",".",".",".","."
"Jurisprudence","829
001","13","1.692","30.8",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mod American Legal History","831
001","19","3.056","47.4","10.5","21.1",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Remedies","839
001","21","3.111","38.1","14.3","9.5","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"","850
001","22","2.227","18.2","9.1","36.4",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","850
002","29","2.914","20.7","31.0","31.0",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","850
003","25","1.740","12.0","12.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","850
004","24","2.293","25.0","12.5","25.0",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","850
005","21","1.896","19.0","9.5","23.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","850
006","11","2.182","27.3",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","132","2.253","19.7","14.4","29.5",".","1.5",".",".","1.5",".",".",".",".",".",".",".","."
"","852
001","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
002","8","1.143","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"","852
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","852
004","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
005","7","1.143","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852
007","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","67","1.412","9.0",".",".",".",".",".",".","71.6",".",".",".",".",".",".",".","3.0"
"","854
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
003","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
004","11","",".",".",".",".",".",".",".","18.2",".",".",".",".",".",".",".","81.8"
"","854
005","34","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
006","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","16.7"
"","854
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
010","7","",".",".",".",".",".",".",".","85.7",".",".",".",".","14.3",".",".","."
"","854
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
012","12","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","16.7"
