"","990
088","3","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
123","2","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
129","2","***","","","","","","","","","",".",".",".","",".","",".",".","."
"PhD Thesis-Management","Course Total","10","",".",".",".",".",".",".",".","100.0",".",".",".","",".","",".",".",".","."
"M H R
236","Dept. Total","1313","3.260","38.5","16.9","25.5","3.5","10.2","2.3","1.5","1.4","0.1",".",".","",".","",".","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","1.500",".",".",".",".","50.0","50.0",".",".",".",".",".","",".","",".",".",".","."
"Junior","","399","2.877","17.0","10.3","45.1","5.3","14.8","4.0","3.0","0.3",".",".",".","",".","",".","0.3",".","."
"Senior","","469","3.141","31.8","15.1","29.0","5.1","14.1","2.1","1.5","1.1","0.2",".",".","",".","",".",".",".","."
"Undergraduates","","870","3.016","24.9","12.9","36.3","5.2","14.5","3.1","2.2","0.7","0.1",".",".","",".","",".","0.1",".","."
"Special","","52","3.385","32.7","40.4","15.4","1.9","5.8","3.8",".",".",".",".",".","",".","",".",".",".","."
"Graduate","","384","3.810","69.0","23.2","2.9",".","1.3",".","0.3","3.1",".",".",".","",".","",".",".",".","0.3"
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","6","3.500","83.3",".",".",".",".","16.7",".",".",".",".",".","",".","",".",".",".","."
"Professionals","","7","3.571","85.7",".",".",".",".","14.3",".",".",".",".",".","",".","",".",".",".","."
"","Dept. Total","1313","3.260","38.5","16.9","25.5","3.5","10.2","2.3","1.5","1.4","0.1",".",".","",".","",".","0.1",".","0.1"
