"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","2","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","2","3.714","50.0","50.0",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","3","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","8","3.917","87.5","12.5",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","13","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","1","3.000",".",".","100.0",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","63","3.450","17.5","55.6","19.0","1.6","1.6","",".","",".","",".","",".",".","",".","",".","",".",".","3.2","1.6"
"Prof Yr 4","","17","3.815","76.5","17.6","5.9",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","81","3.499","29.6","46.9","17.3","1.2","1.2","",".","",".","",".","",".",".","",".","",".","",".",".","2.5","1.2"
