"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","16","3.750","93.8",".",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301","001","","32","3.406","50.0","15.6","15.6","15.6",".",".","3.1",".",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302","001","","16","2.967","31.3","6.3","12.5","12.5","31.3",".",".",".",".",".",".",".",".",".","6.3","."
"Remote Sensng Digtl Image","303","001","","9","3.000","33.3","11.1","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304","001","","7","3.214","28.6","14.3","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","41","2.549","7.3","17.1","17.1","24.4","22.0","9.8","2.4",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","44","3.341","31.8","29.5","20.5","11.4","6.8",".",".",".",".",".",".",".",".",".",".","."
"Hydrology","315","001","","22","3.500","36.4","31.8","22.7",".","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","61","2.861","21.3","9.8","29.5","14.8","18.0","4.9","1.6",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","34","2.471","8.8","5.9","14.7","35.3","23.5","11.8",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","67","3.396","38.8","22.4","25.4","11.9",".",".","1.5",".",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","70","3.221","17.1","27.1","45.7","2.9","7.1",".",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","8","3.188","25.0","25.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Open Channel Hydraulics","411","001","","8","3.500","12.5","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elements-Public Health Engr","422","001","","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","426","001","","10","3.611","20.0","70.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Envir Systems Optimization","429","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Structural Analysis II","440","001","","26","3.019","7.7","34.6","34.6","15.4","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"Steel Structures I","445","001","","40","2.821","7.5","17.5","27.5","27.5","15.0","2.5",".","2.5",".",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491","001","","35","3.456","42.9","22.9","17.1","8.6","5.7",".",".","2.9",".",".",".",".",".",".",".","."
"Mech Systems for Construction","497","001","","32","3.391","6.3","68.8","21.9","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","498","001","","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","498","002","","29","3.448","31.0","37.9","24.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","","Course Total","","45","3.556","37.8","42.2","15.6","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"Water Chemistry","500","001","","22","3.818","68.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coastal Engineering","514","001","","16","3.531","37.5","43.8","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Seepage and Slopes","530","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Precast Concrete","543","001","","27","3.148","18.5","22.2","37.0","14.8","7.4",".",".",".",".",".",".",".",".",".",".","."
"Urban Transport Planning","571","001","","18","3.853","72.2","16.7","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Traffic Control","574","001","","14","3.500","42.9","21.4","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","42","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","596","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","596","002","","20","3.525","35.0","35.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","596","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Constructability Analysis","","Course Total","","29","3.603","44.8","31.0","24.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Water Chemistry","609","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","679","001","","9","3.389","44.4","11.1","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","679","002","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Transprtatn&City Plan","","Course Total","","16","3.594","56.3","18.8","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
