"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Arithmetical Problm Solving","Course Total","97","3.041","21.6","21.6","28.9","9.3","14.4","3.1","1.0",".",".",".",".",".",".",".",".","."
"","131
001","19","3.289","31.6","15.8","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","002
131","22","2.909","22.7","13.6","31.8","4.5","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"","131
003","22","3.205","27.3","13.6","40.9","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","004
131","24","2.875","16.7","8.3","37.5","8.3","29.2",".",".",".",".",".",".",".",".",".",".","."
"Geom Inference & Reasoning","Course Total","87","3.057","24.1","12.6","36.8","8.0","16.1","2.3",".",".",".",".",".",".",".",".",".","."
"","132
001","22","3.318","22.7","22.7","50.0","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","132
002","22","3.182","31.8","9.1","40.9",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","132
003","27","3.074","11.1","18.5","59.3","3.7","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"","132
004","11","3.273","36.4","9.1","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Models","Course Total","82","3.195","23.2","15.9","48.8","3.7","7.3","1.2",".",".",".",".",".",".",".",".",".","."
"","141
001","77","2.838","6.5","18.2","36.4","27.3","7.8","1.3","2.6",".",".",".",".",".",".",".",".","."
"","002
141","80","2.875","15.0","12.5","36.3","5.0","31.3",".",".",".",".",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","Course Total","157","2.857","10.8","15.3","36.3","15.9","19.7","0.6","1.3",".",".",".",".",".",".",".",".","."
"","171
001","154","2.494","12.3","9.1","24.7","7.8","31.8","11.0","3.2",".",".",".",".",".",".",".",".","."
"","171
002","111","2.491","11.7","9.9","25.2","10.8","26.1","12.6","3.6",".",".",".",".",".",".",".",".","."
"Calc with Algebra & Trig I","Course Total","265","2.492","12.1","9.4","24.9","9.1","29.4","11.7","3.4",".",".",".",".",".",".",".",".","."
"","210
001","95","2.937","26.3","18.9","24.2","6.3","14.7","4.2","5.3",".",".",".",".",".",".",".",".","."
"","210
002","242","3.101","40.1","8.7","26.9","1.7","14.0","6.6","2.1",".",".",".",".",".",".",".",".","."
"","210
003","85","3.259","45.9","11.8","25.9",".","9.4","4.7","2.4",".",".",".",".",".",".",".",".","."
"","004
210","278","2.935","18.0","18.3","24.8","17.6","18.3","2.2","0.7",".",".",".",".",".",".",".",".","."
"Topics-Finite Mathematics","Course Total","700","3.032","30.1","14.3","25.6","8.4","15.3","4.3","2.0",".",".",".",".",".",".",".",".","."
"","211
001","235","2.667","20.4","21.7","14.9","8.9","14.5","11.9","7.2","0.4",".",".",".",".",".",".",".","."
"","211
002","272","2.691","23.2","8.8","24.6","9.6","19.9","8.1","5.9",".",".",".",".",".",".",".",".","."
"Calculus","Course Total","507","2.680","21.9","14.8","20.1","9.3","17.4","9.9","6.5","0.2",".",".",".",".",".",".",".","."
"Calc/Intro-Differntl Equats","213
001","102","3.338","41.2","18.6","18.6","13.7","5.9","2.0",".",".",".",".",".",".",".",".",".","."
"","221
001","202","2.708","16.3","9.9","30.7","6.9","27.7","5.9","2.5",".",".",".",".",".",".",".",".","."
"","002
221","228","2.416","7.9","11.0","23.7","15.8","27.2","5.7","8.3","0.4",".",".",".",".",".",".",".","."
"","221
003","228","2.656","18.4","10.1","27.2","7.0","25.0","7.5","4.8",".",".",".",".",".",".",".",".","."
"","221
004","127","2.622","21.3","10.2","21.3","5.5","26.8","10.2","4.7",".",".",".",".",".",".",".",".","."
"","005
221","77","2.717","22.1","7.8","22.1","9.1","28.6","6.5","2.6",".",".",".",".",".","1.3",".",".","."
