"BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"","300
001","34","3.912","91.2",".","8.8",".",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"","300
002","18","3.972","94.4","5.6",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"Actuarial Science Methods","Course Total","52","3.933","92.3","1.9","5.8",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Theory-Interst & Life Insur","303
001","25","3.396","48.0","20.0","8.0","8.0","8.0","4.0",".","",".",".","",".",".","",".","",".","","4.0",".","."
"Actuarial Mathematics 1","650
001","42","2.976","19.0","19.0","21.4","23.8","14.3","2.4",".","",".",".","",".",".","",".","",".","",".",".","."
"Risk Theory and Credibility","652
001","44","3.360","27.3","29.5","29.5","9.1","2.3",".",".","","2.3",".","",".",".","",".","",".","",".",".","."
"ACT SCI
242","Dept. Total","163","3.318","49.1","16.6","16.6","9.8","5.5","1.2","",".","0.6","",".",".","",".","",".","",".","0.6",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","22","3.781","81.8","9.1","9.1",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","51","3.257","58.8","11.8","11.8","7.8","7.8","2.0","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","65","3.091","23.1","23.1","26.2","16.9","7.7","1.5","",".",".","",".",".","",".","",".","",".","1.5",".","."
"Undergraduates","","138","3.217","45.7","16.7","18.1","10.9","6.5","1.4","",".",".","",".",".","",".","",".","",".","0.7",".","."
"Special","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","23","3.750","65.2","17.4","8.7","4.3",".",".","",".","4.3","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","163","3.318","49.1","16.6","16.6","9.8","5.5","1.2","",".","0.6","",".",".","",".","",".","",".","0.6",".","."
