"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"","301","004","","14","3.857","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","301","005","","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Fiction Wrkshp","","Course Total","","69","3.826","75.4","18.8","2.9","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"","302","001","","16","3.563","31.3","56.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","302","002","","14","3.846","64.3","28.6",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Intermediate Poetry Workshp","","Course Total","","30","3.690","46.7","43.3","3.3","3.3",".",".",".","3.3",".",".",".",".",".",".",".","."
"Advanced Fiction Workshop","303","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Poetry Workshop","305","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","307","001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Composition-English Tchrs","309","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316","001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316","002","","13","3.654","84.6","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Smr-Writng Across Curriculm","","Course Total","","30","3.783","80.0","16.7",".",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Old English","320","001","","22","3.455","59.1","9.1","18.2",".","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"Middle English","321","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Structure of English","324","001","","27","3.288","29.6","33.3","7.4","14.8","11.1",".",".","3.7",".",".",".",".",".",".",".","."
"ESL:Acad Presentatns & Disc","326","001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Prof&Acad Writng Skills","327","001","","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"","328","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","002","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","005","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","","Course Total","","40","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"English Phonology","330","001","","29","3.155","6.9","41.4","34.5","10.3","6.9",".",".",".",".",".",".",".",".",".",".","."
"English Lang Variation in U.S.","331","001","","24","3.167","8.3","29.2","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Second Language Acquisition","333","001","","24","3.521","25.0","58.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","334","001","","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","335","001","","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","338","001","","31","3.226","35.5","22.6","16.1","16.1","3.2","6.5",".",".",".",".",".",".",".",".",".","."
"","338","002","","22","3.500","36.4","31.8","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-English Lang & Linguis","","Course Total","","53","3.340","35.8","26.4","20.8","11.3","1.9","3.8",".",".",".",".",".",".",".",".",".","."
"Gender and Language","341","001","","18","3.778","94.4",".",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","367","001","","21","3.548","47.6","19.0","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Soph Honors: Rsch Meth-English","381","001","","17","3.706","41.2","58.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Outstandg Figures-16thc Lit","401","001","","55","3.582","41.8","47.3","5.5","3.6",".",".","1.8",".",".",".",".",".",".",".",".","."
"Shakespeare","417","001","","35","3.500","25.7","51.4","20.0","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"17th C Literature-1600-1660","420","001","","32","3.328","25.0","31.3","34.4","3.1","6.3",".",".",".",".",".",".",".",".",".",".","."
"Milton","434","001","","25","3.440","32.0","32.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"English Novel: 18th Cent","459","001","","26","3.115","7.7","42.3","30.8","11.5","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Intell Opinion-19c Eng Lit","461","001","","21","3.225","19.0","14.3","52.4","9.5",".",".",".","4.8",".",".",".",".",".",".",".","."
"Studies in Victorian Lit","466","001","","21","3.725","71.4","4.8","14.3",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Outstnd Figures-19c Eng Lit","467","001","","28","3.130","17.9","46.4","21.4",".",".","3.6","7.1",".",".",".",".",".",".",".",".","3.6"
"Victorian Poetry","473","001","","15","3.536","46.7","26.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".","6.7",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 201 of 406",""
