"POLITICAL SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"Contemp Political Thought","503","001","","34","3.781","76.5","11.8","2.9",".",".",".","2.9","2.9",".",".",".",".",".","2.9",".","."
"Challenge of Democratizatn","505","001","","72","3.531","48.6","27.8","16.7","1.4","2.8","2.8",".",".",".",".",".",".",".",".",".","."
"","506","001","","40","3.744","70.0","17.5","5.0","2.5",".","2.5",".",".",".",".",".",".","2.5",".",".","."
"","506","002","","22","3.750","81.8","13.6",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Topics in Political Philos","","Course Total","","62","3.746","74.2","16.1","3.2","1.6",".","1.6","1.6",".",".",".",".",".","1.6",".",".","."
"Feminist Political Theory","517","001","","35","3.371","42.9","25.7","14.3","8.6","5.7",".","2.9",".",".",".",".",".",".",".",".","."
"Intro Stat Inference-Pol Rsch","551","001","","32","2.606","25.0","12.5","21.9","9.4","12.5","3.1","12.5","3.1",".",".",".",".",".",".",".","."
"Literature and Politics","570","001","","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corruption and Politics","615","001","","30","3.017","23.3","13.3","33.3","10.0","16.7","3.3",".",".",".",".",".",".",".",".",".","."
"Comparatv Legal Institutns","617","001","","58","3.328","10.3","51.7","32.8","3.4","1.7",".",".",".",".",".",".",".",".",".",".","."
"Politics of Japan","640","001","","86","3.256","16.3","36.0","32.6","12.8","2.3",".",".",".",".",".",".",".",".",".",".","."
"Politcl Power-Contemp China","642","001","","39","3.051","23.1","25.6","28.2","10.3","5.1","2.6","5.1",".",".",".",".",".",".",".",".","."
"Comp Politics of Middle East","650","001","","66","3.200","18.2","27.3","36.4","12.1","3.0","1.5",".",".",".",".",".",".","1.5",".",".","."
"Politics of South Asia","651","001","","17","3.353","29.4","29.4","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"African Politics","660","001","","59","3.441","30.5","30.5","37.3",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Comparative Social Movements","662","001","","21","3.214","23.8","23.8","33.3","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"Israeli Politics and Society","665","001","","31","2.917","12.9","29.0","19.4","19.4","9.7","3.2","3.2","3.2",".",".",".",".",".",".",".","."
"","681","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","7","3.850","71.4",".","14.3",".",".",".",".",".",".",".",".","14.3",".",".",".","."
"Senior Honors Thesis","682","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis Smr","683","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Research Internship","685","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdy Abroad-Pol Sci:CmpartvPol","690","000A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","001","","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695","002","","14","3.679","64.3","21.4",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem: Topics in Poli Sci","","Course Total","","27","3.611","51.9","25.9","14.8","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","698","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","699","009","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 279 of 406",""
