"","990
096","4","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
097","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
098","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","98","",".",".",".",".",".",".",".","94.9","2.0",".",".","3.1","",".",".",".","."
"PHYSICS
754","Dept. Total","2870","3.015","22.5","17.7","24.9","14.3","13.9","1.8","0.8","3.5","0.1","0.1",".","0.1","",".","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","170","3.225","28.2","20.6","27.6","13.5","8.2","1.2",".",".",".","0.6",".",".","",".",".",".","."
"Sophomore","","702","2.903","17.1","15.5","28.3","18.9","17.4","2.1","0.4",".",".",".",".",".","",".","0.1",".","."
"Junior","","933","2.966","19.2","19.2","25.9","15.9","16.9","1.7","1.2",".",".",".",".",".","",".",".",".","."
"Senior","","702","2.980","22.6","17.9","25.8","14.2","14.1","2.8","1.3","0.3",".","0.4",".",".","",".","0.4",".","."
"Undergraduates","","2507","2.967","20.2","17.9","26.7","16.1","15.7","2.1","0.9","0.1",".","0.2",".",".","",".","0.2",".","."
"Special","","31","3.195","32.3","3.2","32.3","9.7","12.9",".",".","9.7",".",".",".",".","",".",".",".","."
"Graduate","","333","3.672","39.3","17.7","10.8","1.2","0.3",".",".","28.8","0.6",".",".","0.9","",".",".","0.3","."
"","Dept. Total","2871","3.015","22.5","17.7","24.9","14.3","13.9","1.8","0.8","3.5","0.1","0.1",".","0.1","",".","0.1","0.0","."
