"EGR","","","","","","","","","","","","","","","","","","",""
"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"","351
002","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
004","11","3.364","36.4","9.1","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","351
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","351
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","34","3.471","41.2","20.6","29.4","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"","352
001","13","2.500","7.7","7.7","23.1","46.2",".","7.7","7.7",".",".",".",".",".",".",".",".","."
"","352
002","34","2.838","11.8","23.5","32.4","8.8","11.8","11.8",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","47","2.745","10.6","19.1","29.8","19.1","8.5","10.6","2.1",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","37","2.838","24.3","16.2","18.9","16.2","13.5","5.4","5.4",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","354
001","13","3.269","23.1","23.1","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","355
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","355
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","7","3.214","28.6","28.6","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","370
002","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
005","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","46","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","72","3.035","19.4","8.3","41.7","23.6","5.6","1.4",".",".",".",".",".",".",".",".",".","."
"","376
002","68","3.147","23.5","17.6","33.8","17.6","5.9","1.5",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","Course Total","140","3.089","21.4","12.9","37.9","20.7","5.7","1.4",".",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","377
001","77","2.779","13.0","22.1","19.5","16.9","19.5","9.1",".",".",".",".",".",".",".",".",".","."
"Topics-Elect&Computer Engr","379
001","14","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","399
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Electroacoustical Engr","401
001","27","3.556","51.9","33.3","7.4","3.7",".",".","3.7",".",".",".",".",".",".",".",".","."
"Intro Feedback Control Lab","409
001","23","3.565","43.5","26.1","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
001","18","3.389","27.8","38.9","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","411
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
411","11","3.313","36.4",".","9.1","27.3",".",".",".",".",".",".",".",".","9.1",".","18.2","."
"","411
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Electric Drive Sys","Course Total","34","3.339","32.4","23.5","14.7","14.7","5.9",".",".",".",".",".",".",".","2.9",".","5.9","."
"Electromag Wave Transmissn","420
001","52","3.385","38.5","15.4","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","427
001","33","3.121","24.2","21.2","21.2","21.2","12.1",".",".",".",".",".",".",".",".",".",".","."
"","427
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","427
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Electric Power Systems","Course Total","37","3.068","24.3","21.6","21.6","18.9","10.8",".","2.7",".",".",".",".",".",".",".",".","."
"Digital Signal Processing","431
001","53","2.817","22.6","17.0","17.0","15.1","17.0","3.8","5.7","1.9",".",".",".",".",".",".",".","."
"Photonics","434
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Communication Systems I","436
001","19","3.237","31.6","21.1","15.8","26.3","5.3",".",".",".",".",".",".",".",".",".",".","."
