"L&S","","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"POLI SCI
778","Dept. Total","4238","3.148","26.4","24.2","24.8","11.8","7.2","2.4","1.3","0.8","",".","0.1","",".","0.6","0.1","0.2","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","618","2.915","16.2","20.7","27.0","17.2","12.6","5.2","1.0",".","",".",".","",".",".","0.2",".",".","."
"Sophomore","","807","3.008","19.5","23.5","24.4","17.5","10.4","3.1","1.5",".","",".",".","",".",".",".","0.1",".","."
"Junior","","1145","3.158","23.5","27.9","27.9","10.4","5.9","2.7","1.4",".","",".","0.3","",".",".",".","0.2",".","."
"Senior","","1391","3.276","32.9","23.8","25.4","9.5","5.4","0.9","1.4","0.1","",".","0.1","",".","0.1","0.2","0.2",".","."
"Undergraduates","","3961","3.125","24.8","24.4","26.2","12.6","7.7","2.5","1.3","0.1","",".","0.1","",".","0.0","0.1","0.2",".","."
"Special","","31","3.213","16.1","9.7","16.1",".","3.2","3.2",".","35.5","",".","3.2","",".",".",".","9.7","3.2","."
"Graduate","","241","3.783","54.4","21.6","4.6","0.8",".",".","0.4","7.9","",".",".","",".","10.0","0.4",".",".","."
"Prof Yr 3","","5","3.250","20.0","20.0","20.0","20.0",".",".",".","20.0","",".",".","",".",".",".",".",".","."
"Professionals","","5","3.250","20.0","20.0","20.0","20.0",".",".",".","20.0","",".",".","",".",".",".",".",".","."
"","Dept. Total","4238","3.148","26.4","24.2","24.8","11.8","7.2","2.4","1.3","0.8","",".","0.1","",".","0.6","0.1","0.2","0.0","."
