"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC","","","","","","","","","","","","","","","","","","","","","",""
"Junior","4","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","27","3.574","44.4","33.3","14.8","7.4",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","31","3.629","51.6","29.0","12.9","6.5",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","23","3.950","52.2","8.7",".",".",".",".","",".","21.7","",".",".","",".",".","",".",".","17.4","."
"Prof Yr 1","162","3.607","91.4","0.6","1.2",".",".","0.6","",".",".","",".",".","",".","5.6","",".",".","0.6","."
"Prof Yr 2","256","3.361","62.5","16.8","14.1","5.5","1.2",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","425","3.428","58.8","19.5","14.8","5.6","0.9",".","",".","0.2","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","271","3.814","77.5","13.3","6.3","1.8","0.4","0.7","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","1114","3.654","68.9","14.6","10.6","3.9","0.7","0.3","",".","0.1","",".",".","",".","0.8","",".",".","0.1","."
