"L&S","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4144","2.995","32.5","13.4","17.3","12.0","15.9","4.9","1.4","2.3","0.0",".","",".","0.0","0.1",".","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","801","2.642","13.5","13.6","19.6","19.1","22.1","9.6","2.2","0.1",".",".","",".",".",".",".",".","0.1"
"Sophomore","","1112","2.908","24.2","16.2","17.4","16.3","19.4","5.2","1.3",".",".",".","",".",".",".",".",".","."
"Junior","","911","2.986","33.3","12.7","18.9","10.6","17.8","4.8","1.4","0.3","0.1",".","",".",".",".",".",".","."
"Senior","","998","3.287","47.6","14.2","17.5","6.4","9.7","2.3","1.1","0.9",".",".","",".","0.1","0.1",".",".","."
"Undergraduates","","3822","2.966","30.2","14.3","18.3","13.0","17.1","5.3","1.5","0.3","0.0",".","",".","0.0","0.0",".",".","0.0"
"Special","","50","3.267","42.0","8.0","22.0","6.0","10.0","2.0",".","10.0",".",".","",".",".",".",".",".","."
"Graduate","","266","3.921","63.9","1.5","1.5","0.4","0.4",".",".","29.7",".",".","",".","0.4","1.9",".","0.4","."
"Prof Yr 1","","3","3.400","33.3",".","66.7",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","6","3.447","33.3","16.7","50.0",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","4144","2.995","32.5","13.4","17.3","12.0","15.9","4.9","1.4","2.3","0.0",".","",".","0.0","0.1",".","0.0","0.0"
