"","890
029","","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","890
057","","2","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Pre-Dissertator's Research","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","",""
"Seminar","900
001","","6","4.000","100.0",".",".",".","",".",".","",".","",".",".","",".",".","",".",".","",".",".","."
"G L E
418","Dept. Total","","60","3.736","61.7","13.3","5.0","1.7","",".","",".","",".","16.7","",".",".","",".","1.7","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","3.625","50.0","50.0",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","","26","3.830","80.8","15.4","3.8",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","28","3.816","78.6","17.9","3.6",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","","1","2.500",".",".",".","100.0","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","","31","3.745","48.4","9.7","6.5",".","",".","",".","",".","32.3","",".",".","",".","3.2","",".",".",".","."
"","Dept. Total","","60","3.736","61.7","13.3","5.0","1.7","",".","",".","",".","16.7","",".",".","",".","1.7","",".",".",".","."
