"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"The Teaching of Reading","Course Total","","71","3.957","97.2",".",".",".",".","1.4",".",".",".",".",".",".",".",".",".","1.4"
"","369
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
002","","26","3.920","92.3",".",".",".","3.8",".",".",".",".",".",".",".",".",".",".","3.8"
"","369
003","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Language Arts","Course Total","","70","3.971","97.1",".",".",".","1.4",".",".",".",".",".",".",".",".",".",".","1.4"
"","370
001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","","26","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","Course Total","","78","3.949","91.0","7.7","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
003","","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","Course Total","","70","3.986","98.6",".","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","27","3.852","81.5","14.8",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","22","3.909","90.9","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","372
003","","21","3.810","76.2","9.5","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","Course Total","","70","3.857","82.9","10.0","4.3","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"","373
001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
003","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
004","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum III","Course Total","","72","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pract: Rdg & Math-Elem Schl","374
001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","375
001","","14","3.871","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","Course Total","","32","3.847","78.1","15.6","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of Physical Educ","378
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Secondry Schl Math II","394
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technol-Secondary Schl Math","395
001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","399
099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","422
001","","35","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","","35","3.706","60.0","17.1","20.0",".",".",".",".",".",".",".",".",".",".",".",".","2.9"
"The Teaching of Children's Lit","Course Total","","70","3.848","78.6","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","1.4"
"Concrn&Constrnt-Tch Yng Chl","425
001","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prgm Planning-Fam&Consmr Ed","428
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","440
001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","440
002","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","440
003","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","440
004","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum IV","Course Total","","70","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching World Lang(6-12)","443
001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg-Health Education","457
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
