"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","82","2.945","22.0","15.9","31.7","2.4","24.4","1.2","2.4",".",".",".",".",".",".",".",".","."
"","002
224","66","2.826","18.2","15.2","31.8","7.6","21.2",".","6.1",".",".",".",".",".",".",".",".","."
"","224
003","55","2.882","3.6","18.2","52.7","9.1","12.7","3.6",".",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","203","2.889","15.8","16.3","37.4","5.9","20.2","1.5","3.0",".",".",".",".",".",".",".",".","."
"","301
001","125","2.672","24.0","4.8","25.6","8.0","27.2","3.2","7.2",".",".",".",".",".",".",".",".","."
"","301
002","114","2.305","12.3","2.6","32.5","5.3","25.4","8.8","12.3",".",".",".",".",".",".","0.9",".","."
"","301
004","142","3.296","38.0","15.5","25.4","14.1","5.6","0.7","0.7",".",".",".",".",".",".",".",".","."
"","301
005","94","3.282","34.0","19.1","25.5","11.7","9.6",".",".",".",".",".",".",".",".",".",".","."
"","301
006","129","3.457","34.1","40.3","16.3","6.2","1.6","0.8","0.8",".",".",".",".",".",".",".",".","."
"","301
007","142","2.771","25.4","4.2","31.0","4.9","23.9","7.7","2.8",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","746","2.967","28.2","14.3","26.0","8.3","15.5","3.6","3.9",".",".",".",".",".",".","0.1",".","."
"Intro to Math Statistics","309
001","28","3.300","21.4","25.0","28.6","14.3",".",".",".","10.7",".",".",".",".",".",".",".","."
"","311
001","40","2.897","15.0","17.5","40.0","2.5","15.0","5.0","2.5","2.5",".",".",".",".",".",".",".","."
"","311
002","50","2.724","14.0","6.0","32.0","12.0","30.0","4.0",".",".",".",".",".",".",".",".","2.0","."
"Intro to Mathematical Stat","Course Total","90","2.801","14.4","11.1","35.6","7.8","23.3","4.4","1.1","1.1",".",".",".",".",".",".","1.1","."
"Intro to Mathematical Stat","312
001","41","3.598","29.3","61.0","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","324
001","27","3.259","22.2","29.6","29.6","14.8","3.7",".",".",".",".",".",".",".",".",".",".","."
"","371
001","142","3.496","59.9","19.0","7.7","4.2","4.2","1.4","3.5",".",".",".",".",".",".",".",".","."
"","371
002","136","3.077","23.5","19.1","27.9","16.9","8.8","2.9","0.7",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","278","3.291","42.1","19.1","17.6","10.4","6.5","2.2","2.2",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","26","3.308","30.8","34.6","15.4","11.5","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","431
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biostatistics","541
001","41","3.585","61.0","19.5","12.2",".","4.9",".","2.4",".",".",".",".",".",".",".",".","."
"","571
001","62","3.492","40.3","24.2","30.6",".",".",".","1.6","3.2",".",".",".",".",".",".",".","."
"","571
002","37","3.403","37.8","18.9","37.8",".",".",".","2.7","2.7",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","99","3.458","39.4","22.2","33.3",".",".",".","2.0","3.0",".",".",".",".",".",".",".","."
"Statistical Meths-Spatial Data","575
001","28","3.885","75.0","14.3","3.6",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Mathematical Statistics I","609
001","19","3.500","31.6","36.8","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Mthds for Clin Trials","641
001","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Statistics","692
001","12","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Directed Study","698
112","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
146","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
165","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics","709
001","15","3.643","53.3","13.3","26.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Nonlinear Progrmg Thry&Appl","726
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Multivariate Analysis I","760
001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Decision Trees-Multivar Anal","761
001","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Bayesian Decisn&Cntrl","775
001","19","3.559","42.1","21.1","21.1","5.3",".",".",".","5.3",".",".",".",".","5.3",".",".","."
"Theory of Probability","831
001","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
