"","990
055","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
056","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
057","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research and Thesis","Course Total","11","",".",".",".",".",".","",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"ANATOMY
144","Dept. Total","394","3.674","65.7","15.0","13.5","2.0","1.0","",".","",".","2.8","",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","14","3.894","78.6","21.4",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","24","3.939","87.5","12.5",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Special","","3","4.000","66.7",".",".",".",".","",".","",".","33.3","",".",".",".","",".","",".",".",".","."
"Graduate","","40","3.926","70.0","2.5","2.5","2.5",".","",".","",".","22.5","",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","324","3.654","63.9","16.7","16.0","2.2","1.2","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","2","4.000","50.0",".",".",".",".","",".","",".","50.0","",".",".",".","",".","",".",".",".","."
"Professionals","","327","3.655","63.6","16.8","15.9","2.1","1.2","",".","",".","0.3","",".",".",".","",".","",".",".",".","."
"","Dept. Total","394","3.674","65.7","15.0","13.5","2.0","1.0","",".","",".","2.8","",".",".",".","",".","",".",".",".","."
