"L&S","","","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","1569","3.128","25.6","17.5","20.2","9.4","7.2","2.8","1.8","9.7","0.2","5.0","0.1","",".","",".","0.3","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","161","2.965","20.5","11.2","17.4","9.3","7.5","4.3","2.5",".",".","27.3",".","",".","",".",".",".","."
"Sophomore","","280","3.095","22.1","15.4","35.0","13.6","6.1","2.5","1.1",".",".","4.3",".","",".","",".",".",".","."
"Junior","","303","2.860","17.2","16.8","26.1","15.2","11.6","4.0","3.6","0.3",".","4.3",".","",".","",".","1.0",".","."
"Senior","","402","3.039","23.1","24.6","20.4","9.7","10.9","4.2","2.7","0.5","0.7","2.5","0.2","",".","",".","0.2",".","."
"Undergraduates","","1146","2.996","20.9","18.4","25.0","12.0","9.4","3.8","2.5","0.3","0.3","6.9","0.1","",".","",".","0.3",".","."
"Special","","39","3.209","25.6","28.2","15.4","12.8","7.7","2.6",".","5.1",".",".",".","",".","",".","2.6",".","."
"Graduate","","384","3.733","39.6","13.8","6.3","1.3","0.5",".",".","38.3",".",".",".","",".","",".",".","0.3","."
"","Dept. Total","1569","3.128","25.6","17.5","20.2","9.4","7.2","2.8","1.8","9.7","0.2","5.0","0.1","",".","",".","0.3","0.1","."
