"L&S","","","","","","","","","","","","","","","","","","","",""
"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"ANTHRO
156","Dept. Total","2123","3.181","31.8","21.9","17.9","7.4","13.6","2.4","1.2","2.7","0.0",".","",".","0.1","0.3","0.3","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","673","3.053","25.1","23.5","19.2","9.1","19.8","1.8","1.3","0.1",".",".","",".",".",".","0.1",".","."
"Sophomore","","444","3.116","27.0","23.6","20.0","10.4","14.6","2.9","0.7","0.5",".",".","",".",".","0.2",".",".","."
"Junior","","379","3.134","33.8","18.7","20.3","8.2","11.6","4.0","2.1","0.8",".",".","",".",".","0.3",".","0.3","."
"Senior","","439","3.264","34.2","22.3","18.5","4.3","10.5","2.5","1.1","4.6",".",".","",".",".","0.2","1.1","0.7","."
"Undergraduates","","1935","3.130","29.3","22.3","19.4","8.1","14.9","2.6","1.3","1.3",".",".","",".",".","0.2","0.3","0.2","."
"Special","","21","3.700","33.3","28.6","4.8",".",".",".",".","23.8",".",".","",".",".",".",".","9.5","."
"Graduate","","166","3.875","61.4","15.7","1.8",".",".",".",".","16.3","0.6",".","",".","1.2","1.8","0.6","0.6","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","2123","3.181","31.8","21.9","17.9","7.4","13.6","2.4","1.2","2.7","0.0",".","",".","0.1","0.3","0.3","0.3","."
