"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"311","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"311","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem Dutch-Grad Stdts","Course Total","","5","***","","","","","","","","","","","","","","","",""
"313
3rd Sem Dutch-Grad Stdts","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"335
Dutch Conversatn&Compositn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"337","000A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"337","001","","19","3.368","31.6","31.6","15.8","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Compositn & Conversatn","Course Total","","21","3.381","28.6","38.1","14.3","19.0",".",".",".",".",".",".",".",".",".",".",".","."
"351
Intro to German Linguistics","001","","21","3.738","66.7","19.0","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"362
Topics in German Literature","001","","15","3.433","46.7","26.7","6.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"369
Study Abroad-German Linguis","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"391
German for Grad Reading I","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"401","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"401","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"401","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem German for Grad Stdts","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"402","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"402","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem German for Grad Stdts","Course Total","","3","***","","","","","","","","","","","","","","","",""
"403","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"403","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Sem German for Grad Stdts","Course Total","","2","***","","","","","","","","","","","","","","","",""
"404
4th Sem German for Grad Stdts","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"410
Kultur 1648-1918","001","","20","3.450","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"445
Topics in Dutch Culture","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"645
Cultuurkunde der Lage Landen","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"655
German Film","001","","8","3.643","50.0","12.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"676
Adv Seminar in German Studies","001","","20","3.475","45.0","25.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"681
Sr Honors Thesis-1st Sem","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Sr Honors Thesis-2nd Sem","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"708
Literatur des 19. Jahrhunderts","001","","9","3.571","33.3","22.2","22.2",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"711
Special Topics-German Lit","001","","7","3.750","57.1","14.3","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"720
College Teaching of German","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"722
Theory of Teaching German","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"723
Pract-Teachng Undergrad Lit","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"724
Pract-Teach Undergrad Ling","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"727
Topics-Applied Linguistics","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Old Germanic Languages","001","","11","4.000","81.8",".",".",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"758","001","","13","4.000","84.6",".",".",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 216 of 406",""
