"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"","116","001","","23","3.864","82.6","8.7",".",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","116","002","","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","","Course Total","","45","3.852","75.6","20.0",".",".","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"Foundations of Physical Educ","121","001","","14","3.286","14.3","35.7","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Gymnastics for Teaching","126","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127","001","","32","3.266","34.4","12.5","34.4","9.4","9.4",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","","38","3.995","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Tech-Athletic Training","301","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","","41","3.305","22.0","39.0","26.8","7.3","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","315","001","","38","3.737","57.9","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316","001","","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Athletc Injuries","317","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","318","001","","44","3.227","25.0","27.3","29.5","9.1","6.8","2.3",".",".",".",".",".",".",".",".",".","."
"","323","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","003","","21","3.881","90.5",".","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","","69","3.957","95.7","1.4","1.4","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Elem School Phy Ed","335","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","","60","3.325","31.7","31.7","18.3","10.0","6.7","1.7",".",".",".",".",".",".",".",".",".","."
"Rehab/Treat Athltc Injuries","358","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","41","3.305","26.8","29.3","26.8","12.2","4.9",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","7","3.900","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field-Athletic Training","450","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Athletic Training","499","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Exercise Psychology","600","001","","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Factors-Exercise Perf","614","001","","43","3.430","25.6","41.9","25.6","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
