"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","223
002","15","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hispanic Cultures","Course Total","201","3.668","63.7","13.4","15.9","3.5","2.5",".",".","1.0",".",".",".",".",".",".",".","."
"","224
001","23","3.130","17.4","17.4","52.2","8.7",".","4.3",".",".",".",".",".",".",".",".",".","."
"","224
002","22","3.205","36.4","4.5","36.4","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"","224
003","24","3.583","45.8","25.0","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
004","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
005","24","3.417","41.7","29.2","16.7","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","224
006","23","3.565","47.8","30.4","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","224
007","26","3.192","23.1","23.1","26.9","23.1","3.8",".",".",".",".",".",".",".",".",".",".","."
"","224
008","24","3.854","79.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
009","24","3.833","83.3","4.2","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","224
010","25","3.800","76.0","8.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
011","22","3.568","31.8","54.5","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Hispanic Literatures","Course Total","252","3.530","48.8","21.8","20.6","5.6","2.4","0.8",".",".",".",".",".",".",".",".",".","."
"","226
001","18","3.417","44.4","11.1","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","226
002","19","3.158","10.5","47.4","15.8","15.8","10.5",".",".",".",".",".",".",".",".",".",".","."
"","226
003","19","3.316","21.1","36.8","31.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","226
004","20","3.289","20.0","15.0","60.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","226
005","20","3.325","20.0","25.0","55.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
006","18","3.083","11.1","27.8","44.4","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"","226
007","20","3.083","10.0","15.0","50.0","10.0","5.0",".",".","10.0",".",".",".",".",".",".",".","."
"","226
008","20","3.139","10.0","25.0","40.0","10.0","5.0",".",".","10.0",".",".",".",".",".",".",".","."
"","226
009","17","2.912","5.9","29.4","29.4","11.8","23.5",".",".",".",".",".",".",".",".",".",".","."
"","226
010","19","3.132","10.5","10.5","73.7","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","226
011","19","3.105","21.1","15.8","42.1","5.3","15.8",".",".",".",".",".",".",".",".",".",".","."
"","226
012","19","2.842","10.5","21.1","31.6","10.5","21.1","5.3",".",".",".",".",".",".",".",".",".","."
"","226
013","18","3.333","27.8","22.2","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","226
014","19","3.684","63.2","21.1","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","226
015","19","3.421","31.6","26.3","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","226
016","15","3.214","20.0","20.0","40.0","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"","226
017","18","3.306","22.2","33.3","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","226
018","16","3.250","12.5","31.3","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","226
019","20","3.300","50.0","5.0","30.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","226
020","19","2.921","5.3","15.8","57.9","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","226
021","18","3.333","33.3","22.2","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","226
022","18","3.417","44.4","5.6","44.4",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","226
023","19","3.421","36.8","21.1","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","226
024","18","3.417","22.2","44.4","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","226
025","19","3.026","21.1","10.5","42.1","5.3","21.1",".",".",".",".",".",".",".",".",".",".","."
"Interm Lang Prac-","Course Total","464","3.235","23.5","22.2","38.8","7.8","5.6","0.6","0.2","1.3",".",".",".",".",".",".",".","."
"","311
001","19","3.632","52.6","31.6","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","311
002","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
003","24","3.292","20.8","37.5","25.0","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"","311
004","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
005","22","3.227","27.3","18.2","31.8","18.2","4.5",".",".",".",".",".",".",".",".",".",".","."
