"MED","","","","","","","","","","","","","","","","","","","","","",""
"BIOMOLECULAR CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","",""
"BMOLCHEM
758","Dept. Total","469","3.562","45.6","14.1","18.8","1.9","2.1","0.9","0.6","15.6","",".",".","",".","0.4","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","29","2.898","6.9","17.2","55.2","6.9","3.4","3.4","3.4","3.4","",".",".","",".",".","",".",".",".","."
"Junior","","66","3.129","21.2","18.2","48.5","1.5","6.1","3.0","1.5",".","",".",".","",".",".","",".",".",".","."
"Senior","","61","3.367","47.5","13.1","24.6","6.6","4.9","1.6","1.6",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","156","3.180","28.8","16.0","40.4","4.5","5.1","2.6","1.9","0.6","",".",".","",".",".","",".",".",".","."
"Special","","10","3.304","40.0","20.0","20.0","10.0","10.0",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","139","3.825","43.2","2.9","1.4",".","0.7",".",".","50.4","",".",".","",".","1.4","",".",".",".","."
"Prof Yr 1","","161","3.738","64.6","21.7","13.0","0.6",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","","164","3.738","64.0","21.3","12.8","0.6",".",".",".","1.2","",".",".","",".",".","",".",".",".","."
"","Dept. Total","469","3.562","45.6","14.1","18.8","1.9","2.1","0.9","0.6","15.6","",".",".","",".","0.4","",".",".",".","."
