"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Women, Culture & Representn","101","001","98","3.376","27.6","38.8","20.4","7.1","4.1","1.0",".","1.0",".",".",".",".",".",".",".","."
"Women-Soc Inst & Soc Change","102","001","146","3.099","6.8","31.5","43.2","13.0","4.8","0.7",".",".",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","404","3.572","48.5","28.7","14.9","4.7","1.7","0.2","0.5","0.5",".",".",".",".",".","0.2",".","."
"Women in Russn Lit in Trans","205","001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race & Ethnicity-U.S. Women","223","001","38","3.946","86.8","10.5",".",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","248","001","15","3.767","80.0","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Women in Literature","250","001","10","2.750","20.0",".","40.0","30.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","320","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","001","36","3.125","13.9","25.0","36.1","22.2","2.8",".",".",".",".",".",".",".",".",".",".","."
"Topics - Women & Society","","Course Total","37","3.149","16.2","24.3","35.1","21.6","2.7",".",".",".",".",".",".",".",".",".",".","."
"Gender, Race & Class","323","001","27","3.960","85.2","7.4",".",".",".",".",".","3.7",".",".",".",".","3.7",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","34","3.324","32.4","26.5","23.5","8.8","8.8",".",".",".",".",".",".",".",".",".",".","."
"Women:Cross-Soc Perspective","420","001","39","3.744","74.4","10.3","7.7","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","37","3.270","37.8","21.6","27.0","5.4","2.7",".","5.4",".",".",".",".",".",".",".",".","."
"Lesbian Culture","442","001","35","3.543","48.6","28.6","20.0",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"Feminism & Sociologicl Thry","477","001","8","3.500","50.0","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Women","522","001","18","3.361","22.2","50.0","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Biology and Gender","530","001","34","3.750","76.5","17.6",".","2.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"Gender and Education","560","001","20","3.361","35.0","30.0","15.0","5.0",".",".","5.0","10.0",".",".",".",".",".",".",".","."
"Advanced Smr in Women's St","640","001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis I","691","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","121","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","126","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","19","3.767","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender Issues-Intl Educ Policy","805","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch in Women's/Gender Studies","900","001","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
