"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","44","3.443","43.2","9.1","40.9","6.8",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Asian American Movement","153
001","13","3.875","76.9","7.7","7.7",".",".",".","",".","7.7",".","",".",".","",".","",".","",".",".","."
"Ethnic Movements in U.S.","220
001","9","3.333",".","66.7","33.3",".",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"","240
001","9","3.000","33.3","22.2","22.2",".","11.1",".","","11.1",".",".","",".",".","",".","",".","",".",".","."
"","240
002","18","3.222","50.0","16.7","16.7","5.6",".",".","","11.1",".",".","",".",".","",".","",".","",".",".","."
"Topics-Asian Amer Studies","Course Total","27","3.148","44.4","18.5","18.5","3.7","3.7","",".","11.1",".","",".",".","",".","",".","",".",".",".","."
"","260
001","20","3.450","20.0","55.0","20.0","5.0",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"","260
002","22","3.614","68.2","18.2","4.5","4.5",".",".","","4.5",".",".","",".",".","",".","",".","",".",".","."
"Topics-Asian Amer Culture","Course Total","42","3.536","45.2","35.7","11.9","4.8",".","",".","2.4",".","",".",".","",".","",".","",".",".",".","."
"","662
001","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","662
002","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Mass Media and Minorities","Course Total","3","***","","","","","","","","","","","","","","","","","","","","",""
"Ind Study:Directed Readings","699
101","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"ASIAN AM
184","Dept. Total","139","3.447","43.9","24.5","23.0","4.3","0.7","",".","2.9","0.7","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","42","3.345","26.2","26.2","38.1","9.5",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","27","3.518","51.9","22.2","22.2",".",".","",".","3.7",".","",".",".","",".","",".","",".",".",".","."
"Junior","","32","3.318","43.8","25.0","15.6","6.3","3.1","",".","6.3",".","",".",".","",".","",".","",".",".",".","."
"Senior","","37","3.603","56.8","24.3","13.5",".",".","",".","2.7","2.7","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","138","3.443","43.5","24.6","23.2","4.3","0.7","",".","2.9","0.7","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","139","3.447","43.9","24.5","23.0","4.3","0.7","",".","2.9","0.7","",".",".","",".","",".","",".",".",".","."
