"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Technical Info Resources","151
001","25","3.720","80.0","12.0",".","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"","155
001","20","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
002","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
003","20","3.150","25.0","20.0","40.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","155
004","20","3.125","10.0","35.0","35.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","155
005","20","3.525","35.0","35.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
006","19","2.763","15.8","15.8","31.6","21.1","5.3",".","10.5",".",".",".",".",".",".",".",".","."
"","155
007","20","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
008","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
009","20","3.275","35.0","40.0","10.0","5.0",".","5.0","5.0",".",".",".",".",".",".",".",".","."
"","155
010","17","2.971","5.9","29.4","29.4","23.5","11.8",".",".",".",".",".",".",".",".",".",".","."
"","155
011","19","3.447","42.1","36.8","15.8",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","155
012","15","3.233","46.7","13.3","20.0","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","228","3.357","35.5","29.4","23.2","6.1","2.6","0.4","2.6",".",".",".",".",".",".",".",".","."
"Freshman Independent Study","199
017","57","4.000","15.8",".",".",".",".",".",".","84.2",".",".",".",".",".",".",".","."
"","275
001","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","16","3.406","37.5","31.3","25.0",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","63","3.738","61.9","30.2","6.3",".",".","1.6",".",".",".",".",".",".",".",".",".","."
"Sophomore Independent Study","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Chinese Conversatn I","Course Total","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","330
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","330
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese I","Course Total","5","***","","","","","","","","","","","","","","","",""
"","374
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","374
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","374
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elems: Comp-Assist Publishg","395
001","14","3.429","50.0","28.6","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","397
001","19","3.342","15.8","42.1","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","397
002","22","3.182","13.6","27.3","45.5","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","397
003","21","3.190","28.6","23.8","28.6","14.3",".",".","4.8",".",".",".",".",".",".",".",".","."
"","397
004","21","3.071","14.3","28.6","42.9","4.8","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","397
005","20","3.400","40.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
006","20","3.075","10.0","25.0","60.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","397
007","18","3.722","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
008","21","3.214","33.3","23.8","23.8","9.5",".","9.5",".",".",".",".",".",".",".",".",".","."
"","397
009","19","3.132","26.3","21.1","26.3","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","397
010","18","3.417","22.2","44.4","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","397
011","18","3.361","16.7","55.6","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","397
012","20","3.550","40.0","45.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 120 of 406",""
