"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"215","001","","136","2.866","18.4","6.6","37.5","14.0","17.6","2.9","1.5","0.7","0.7",".",".",".",".",".",".","."
"215","002","","140","2.921","15.0","10.0","42.9","14.3","15.0","0.7","1.4","0.7",".",".",".",".",".",".",".","."
"Intro to Agr & Applied Econ","Course Total","","276","2.894","16.7","8.3","40.2","14.1","16.3","1.8","1.4","0.7","0.4",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","8","2.563",".",".","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"323
Cooperatives","001","","47","2.533","14.9","21.3","14.9","14.9","6.4","19.1","6.4","2.1",".",".",".",".",".",".",".","."
"343
Environmental Economics","001","","15","2.170","13.3","13.3","13.3","6.7","26.7","6.7","20.0",".",".",".",".",".",".",".",".","."
"374
Growth&Develpmt Global Econ","001","","14","3.115","28.6","14.3","21.4","7.1","21.4",".",".","7.1",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"419
Agricultural Finance","001","","16","3.250","37.5","6.3","43.8","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"426
Quant Mthds-Ag & Appl Econ","001","","11","3.136","9.1","45.5","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"431
Natural Resource Economics","001","","14","3.179","28.6","14.3","35.7","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"473
Econ Grwth&Devlpmnt-SE Asia","001","","13","3.346","30.8","30.8","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"500
Senior Capstone Experience","001","","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"635
Applied Microeconomic Thry","001","","19","3.579","42.1","31.6","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"636
Applied Econometric Anal I","001","","23","3.523","26.1","47.8","21.7",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","6","3.714","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","13","3.800","69.2","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"706
Applied Risk Analysis","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"747
Economics of Food Industry","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"760
Dynnamc Natrl Resource Econ","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract:Ag&Appl Econ Teaching","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","8","3.500","25.0","25.0","25.0",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"881
Benefit-Cost Analysis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"982
Smr-Latin American Area","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","087","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 1 of 406"
