"LITERATURE IN TRANSLATION","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","55","3.309","29.1","40.0","18.2","3.6","5.5",".","3.6",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","203","001","84","3.669","61.9","25.0","8.3",".",".","2.4","1.2",".",".",".",".",".",".","1.2",".","."
"Women in Russn Lit in Trans","205","001","13","3.917","84.6",".","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"The Writings of Vaclav Havel","208","001","20","3.625","60.0","10.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mod Indian Lits in Translation","211","001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dostoevsky in Translation","222","001","27","3.500","33.3","40.7","14.8","3.7","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"","226","001","16","3.531","62.5","18.8","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","226","002","16","3.438","25.0","43.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Luso-Afro-Brazilian Lit","","Course Total","32","3.484","43.8","31.3","18.8","3.1",".",".","3.1",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","17","3.265","23.5","29.4","35.3",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","233","001","24","3.548","50.0","20.8","20.8","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Bascom Crse-In Translation","236","001","15","3.500","40.0","26.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","247","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit Tran:20c Fr Mastrpieces","250","001","19","3.105",".","36.8","52.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253","001","48","3.245","29.2","16.7","33.3","10.4","8.3",".",".","2.1",".",".",".",".",".",".",".","."
"Lit Tran: Modern Italy","254","001","98","3.714","49.0","44.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261","001","33","3.344","15.2","45.5","27.3","9.1",".",".",".",".",".",".",".",".",".","3.0",".","."
"Japanese Lit in Translation","263","001","19","3.132","15.8","26.3","26.3","31.6",".",".",".",".",".",".",".",".",".",".",".","."
"Scand LitTran:Mid Ages-1900","271","001","119","3.272","14.3","41.2","32.8","7.6","3.4",".","0.8",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","275","001","211","3.715","57.8","31.8","8.5","0.5","0.9","0.5",".",".",".",".",".",".",".",".",".","."
"","277","001","19","3.763","68.4","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","277","002","29","3.517","41.4","24.1","31.0","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-20c German Lit(in Tran)","","Course Total","48","3.615","52.1","22.9","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asian Lit in Translation","303","001","17","3.471","35.3","23.5","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Transl:Contemp Scand Lit","340","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342","001","13","3.385","30.8","38.5","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"In Trans: Modern Scand Drama","349","001","12","3.417","25.0","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fr&Ital Renaissance Lit Online","360","001","81","3.460","43.2","19.8","23.5","2.5","6.2",".",".","3.7","1.2",".",".",".",".",".",".","."
"Modern Japanese Fiction","368","001","28","3.196","17.9","39.3","28.6","7.1","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","410","000A","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mod Serb&Croat Lit in Trans","455","001","13","3.675","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polish Lit(Tran) since 1863","473","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
