"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"Accounting Systems","Course Total","144","3.212","22.2","26.4","29.9","14.6","6.9",".",".",".",".",".",".",".",".",".",".","."
"","406
001","11","3.091","27.3",".","54.5",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","406
002","9","3.222","44.4",".","44.4",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","20","3.150","35.0",".","50.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","603
001","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","21","3.548","33.3","42.9","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
003","14","3.500","28.6","35.7","28.6",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","44","3.581","40.9","31.8","25.0",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"","620
001","13","2.909","23.1",".","46.2",".","7.7",".","7.7","15.4",".",".",".",".",".",".",".","."
"","620
002","30","3.383","30.0","23.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","43","3.256","27.9","16.3","41.9","4.7","2.3",".","2.3","4.7",".",".",".",".",".",".",".","."
"","621
002","44","3.443","40.9","15.9","38.6",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","621
003","42","3.321","38.1","14.3","31.0","7.1","9.5",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","86","3.384","39.5","15.1","34.9","3.5","7.0",".",".",".",".",".",".",".",".",".",".","."
"","630
001","24","3.208","12.5","25.0","54.2","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","43","3.314","23.3","20.9","51.2","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"","630
003","40","3.225","20.0","17.5","52.5","7.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","107","3.257","19.6","20.6","52.3","6.5","0.9",".",".",".",".",".",".",".",".",".",".","."
"","631
001","26","3.615","53.8","19.2","23.1","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
631","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech, Risk&Assurance Serv","Course Total","42","3.714","64.3","16.7","16.7","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","59","3.466","28.8","37.3","32.2","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","61","3.592","44.3","29.5","23.0","1.6",".",".",".",".",".",".",".",".",".",".",".","1.6"
"","700
030","49","3.551","38.8","44.9","10.2",".","6.1",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","169","3.536","37.3","36.7","22.5","1.2","1.8",".",".",".",".",".",".",".",".",".",".","0.6"
"","706
001","6","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","18","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","24","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","710
001","28","3.643","53.6","28.6","14.3",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Taxation of Pass-Thru Entities","722
001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","20","3.675","60.0","15.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
002","21","3.738","71.4","4.8","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","41","3.707","65.9","9.8","24.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","772
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
122","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading&Research-Accounting","Course Total","2","***","","","","","","","","","","","","","","","",""
"Smr-Accounting Research","971
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
122","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
136","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","3","***","","","","","","","","","","","","","","","",""
