"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","19","3.553","52.6","31.6","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","101
002","15","3.633","53.3","33.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","003
101","19","3.806","73.7","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","5.3","."
"","101
004","10","3.500","40.0","20.0","20.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","005
101","19","3.639","52.6","31.6",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".","5.3"
"","101
007","22","3.421","31.8","27.3","9.1","18.2",".",".",".","9.1",".",".",".",".",".",".","4.5","."
"","009
101","24","3.583","45.8","41.7","4.2",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","101
010","15","3.400","40.0","26.7","20.0",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","101
012","17","3.500","35.3","41.2","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
013","15","3.346","20.0","40.0","6.7","20.0",".",".",".","6.7",".",".",".",".",".",".","6.7","."
"First Semester French","Course Total","175","3.548","45.1","30.9","8.0","7.4","3.4","0.6",".","2.3",".",".",".",".",".",".","1.7","0.6"
"","102
001","19","3.222","5.3","36.8","47.4","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","102
002","22","3.114","9.1","45.5","27.3","4.5","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"","102
003","22","3.182","9.1","45.5","36.4",".","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","102
005","23","3.739","60.9","34.8",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","102
008","15","3.179","20.0","33.3","20.0","13.3",".","6.7",".","6.7",".",".",".",".",".",".",".","."
"","010
102","16","3.300","18.8","31.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","6.3"
"Second Semester French","Course Total","117","3.303","21.4","38.5","26.5","5.1","3.4","2.6",".","1.7",".",".",".",".",".",".",".","0.9"
"","203
001","24","3.333","37.5","33.3","20.8",".",".","4.2","4.2",".",".",".",".",".",".",".",".","."
"","203
002","22","3.159","9.1","45.5","22.7","13.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"","203
004","19","2.947",".","36.8","36.8","5.3","21.1",".",".",".",".",".",".",".",".",".",".","."
"","203
005","18","3.611","44.4","38.9","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","22","3.523","36.4","36.4","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","203
007","22","3.273","13.6","31.8","50.0","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","203
008","23","3.413","13.0","56.5","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
010","20","3.025","15.0","35.0","25.0","10.0","5.0","10.0",".",".",".",".",".",".",".",".",".","."
"","203
012","20","3.450","35.0","45.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","203
013","20","3.125","50.0","15.0","5.0","10.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","210","3.288","25.2","37.6","23.8","5.7","3.8","2.9","1.0",".",".",".",".",".",".",".",".","."
"","204
001","22","3.500","22.7","54.5","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","25","3.460","24.0","52.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","20","3.237","10.0","40.0","30.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","204
006","21","3.690","52.4","33.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
008","23","3.522","34.8","43.5","17.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","204
010","21","3.238","23.8","28.6","23.8","19.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"","204
011","15","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
012","16","3.469","25.0","43.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","163","3.454","27.0","44.2","21.5","5.5","1.2",".",".","0.6",".",".",".",".",".",".",".","."
"","227
001","22","3.705","45.5","50.0","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
002","16","3.656","43.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
003","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
004","21","3.619","57.1","38.1",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","227
005","21","3.548","28.6","52.4","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
007","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","121","3.702","54.5","36.4","8.3",".",".",".","0.8",".",".",".",".",".",".",".",".","."
