"INTERDIS COURSES (SOHE)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","",""
"299","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"350
Community Iss & Serv Learng","001","","20","3.525","40.0","35.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","14","3.786","85.7",".","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"375","002","","9","3.167","66.7","11.1",".",".",".","11.1","11.1",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","23","3.543","78.3","4.3","4.3",".","4.3","4.3","4.3",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"428
Prgm Planning-Fam&Consmr Ed","001","","20","3.400","55.0","15.0","15.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"430
Stdt Teach-Fam & Consumer Educ","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Principles of Adult Education","001","","8","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"660
Foundations of Educ for Work","001","","7","3.325","57.1",".","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
