"GEOLOGY & GEOPHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"","100","001","186","2.981","22.0","18.3","21.5","22.0","12.4","1.6","2.2",".",".",".",".",".",".",".",".","."
"","100","002","172","2.763","19.2","18.0","18.6","16.3","14.5","9.3","3.5",".",".",".",".",".",".",".","0.6","."
"General Geology","","Course Total","358","2.877","20.7","18.2","20.1","19.3","13.4","5.3","2.8",".",".",".",".",".",".",".","0.3","."
"Survey of Oceanography","105","001","22","2.659","13.6","4.5","45.5","9.1","13.6","9.1","4.5",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","88","2.816","19.3","17.0","14.8","17.0","25.0","4.5","1.1",".",".",".",".",".",".","1.1",".","."
"Life of the Past","107","001","67","2.664","11.9","11.9","26.9","19.4","17.9","11.9",".",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","185","2.843","20.0","1.1","53.0","1.1","17.8","3.2","3.8",".",".",".",".",".",".",".",".","."
"Volcanoes and Civilization","111","001","197","2.974","23.9","22.3","17.3","14.2","15.7","2.0","3.6","0.5",".",".",".",".",".",".","0.5","."
"Life in Earth's Extreme Envir","117","001","34","3.641","50.0","29.4","8.8","2.9","2.9",".",".","5.9",".",".",".",".",".",".",".","."
"Directed Study","198","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Intro to Geologic Structures","202","001","26","2.900","19.2","19.2","11.5","30.8","7.7","7.7",".","3.8",".",".",".",".",".",".",".","."
"Physics&Chem-Earth's Interior","302","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fluids & Sedimentary Processes","303","001","23","3.239","34.8","13.0","26.1","17.4","8.7",".",".",".",".",".",".",".",".",".",".","."
"Geomorphology","320","001","16","3.406","50.0","6.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","331","001","147","2.993","21.1","23.8","19.7","12.9","12.2","5.4","1.4","2.0",".",".",".",".",".",".","1.4","."
"The Age of Dinosaurs","333","001","219","2.909","9.1","26.5","30.1","8.7","12.3","3.7","2.3","6.8",".",".",".",".",".",".","0.5","."
"Topics in Geology","376","001","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411","001","26","3.273","30.8","19.2","23.1","3.8","3.8",".","3.8","15.4",".",".",".",".",".",".",".","."
"Principles-Econ Geology","515","001","10","3.600","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Monsters & Science: A History","517","001","45","3.548","57.8","20.0","4.4","6.7",".",".","4.4","4.4",".",".",".",".",".",".","2.2","."
"Paleobiology","541","001","16","3.429","37.5","12.5","25.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594","001","11","3.409","27.3","45.5","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Fld Meth-Appl&Engr Geophysics","595","001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geochronology & Timescales","610","001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hydrogeology","627","001","24","3.021","25.0","4.2","37.5","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Directed Study","698","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","3.846","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quaternary Pollen Anal I","722","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Groundwater Flow Modeling","724","001","17","3.647","41.2","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Micropaleontology I","740","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 213 of 406",""
