"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"Stdt Tchg Hist&Soc St in HS","459
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar:K-Mid Schl Teaching","463
001","65","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg in Elem School","464
001","51","",".",".",".",".",".",".",".",".",".","98.0","2.0",".",".",".",".","."
"Stdt Tchg-Kindergarten","465
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","466
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","466
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Elem","Course Total","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","467
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","467
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Secndry","Course Total","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Middle School","498
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Literacy & Language Developmnt","500
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Info for Teachers","501
001","78","3.877","75.6","21.8","1.3",".",".",".",".",".",".",".",".",".",".",".",".","1.3"
"","506
001","51","3.922","84.3","15.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
003","32","3.969","96.9",".","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
004","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","140","3.964","93.6","5.7","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instrctnl Computn-Schools I","514
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Curric in Agri-sci Educ","523
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Teach Soc Studies","559
001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teacher Ed-Human Sexuality","561
001","23","3.717","73.9","21.7",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Iss, Mtls & Mthds-Hlth Educ","567
001","22","3.886","86.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Teaching Science","590
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac-Tch Engl Secn Schl","596
001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Instructn w/Technol","600
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar on Literacy","604
001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Literature and Literacy","632
001","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Early Childhood Education","660
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in ESL Education","672
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
