"","999
082","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
091","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
094","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Reading & Research","Course Total","21","4.000","61.9",".",".",".",".",".",".","38.1","",".",".","",".",".",".",".",".","."
"SOC
900","Dept. Total","3673","3.282","33.0","23.5","17.8","8.9","6.2","1.7","1.0","6.5","",".","1.0","",".","0.1","0.2","0.1","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","637","3.111","19.9","28.7","24.0","14.4","9.9","1.4","0.8",".","",".","0.8","",".",".",".",".",".","."
"Sophomore","","796","3.307","34.2","26.9","21.0","9.2","6.5","1.4","0.4","0.4","",".",".","",".",".",".","0.1",".","."
"Junior","","829","3.248","34.5","25.5","19.4","9.4","5.5","2.5","1.9","0.5","",".","0.4","",".","0.1",".","0.2",".","."
"Senior","","860","3.297","38.5","22.1","16.9","9.1","7.6","2.1","1.5","1.7","",".","0.2","",".",".","0.1","0.1",".","0.1"
"Undergraduates","","3122","3.246","32.5","25.6","20.1","10.3","7.2","1.9","1.2","0.7","",".","0.3","",".","0.0","0.0","0.1",".","0.0"
"Special","","27","3.407","37.0","22.2","7.4","7.4",".","3.7",".","11.1","",".","3.7","",".",".","7.4",".",".","."
"Graduate","","522","3.765","35.1","11.5","4.6","0.6",".","0.2",".","41.2","",".","5.2","",".","0.6","0.8",".","0.2","0.2"
"Prof Yr 3","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","3673","3.282","33.0","23.5","17.8","8.9","6.2","1.7","1.0","6.5","",".","1.0","",".","0.1","0.2","0.1","0.0","0.1"
