"LANDSCAPE ARCHITECTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","",""
"","201
001","","26","3.500","26.9","50.0","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","","25","3.417","20.0","44.0","28.0","4.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"Intro Land Arc Studio","Course Total","","51","3.460","23.5","47.1","23.5","3.9",".",".",".",".",".",".",".",".","2.0",".",".","."
"","250
002","","21","2.944","14.3","28.6","28.6",".","4.8",".","9.5","14.3",".",".",".",".",".",".",".","."
"","250
004","","21","2.714","4.8","19.0","47.6","9.5","9.5",".","9.5",".",".",".",".",".",".",".",".","."
"","250
005","","22","3.000","22.7","4.5","45.5","4.5","13.6","4.5",".",".",".",".",".",".","4.5",".",".","."
"","250
006","","23","3.087","21.7","17.4","34.8","8.7","17.4",".",".",".",".",".",".",".",".",".",".","."
"","250
007","","7","3.000","28.6","28.6","28.6",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","Course Total","","94","2.944","17.0","18.1","38.3","5.3","10.6","1.1","5.3","3.2",".",".",".",".","1.1",".",".","."
"Prin Land Arc Dsgn&Graphics","261
001","","24","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","263
001","","7","2.000",".","28.6","14.3",".","14.3","28.6","14.3",".",".",".",".",".",".",".",".","."
"","263
002","","14","2.464",".","35.7","14.3",".","35.7","7.1","7.1",".",".",".",".",".",".",".",".","."
"Landscape Plants I","Course Total","","21","2.310",".","33.3","14.3",".","28.6","14.3","9.5",".",".",".",".",".",".",".",".","."
"Independent Studies","299
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Landscape Arch Tech II","354
001","","24","3.188","20.8","33.3","20.8","20.8",".","4.2",".",".",".",".",".",".",".",".",".","."
"Planting Design I","365
001","","22","3.295","27.3","22.7","45.5",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
001","","18","3.694","55.6","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","399
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","14","3.969","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","550
001","","18","3.417","38.9","27.8","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610
001","","18","3.417","27.8","38.9","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Restoration Ecology","666
001","","17","3.471","58.8",".","29.4",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Adaptive Restoration Lab","670
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Cult Rsrce Presrv&Lndsc Hst","677
001","","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems-Land Arch","699
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Seminar","940
001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","6","3.833","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
