"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201
001","","426","3.431","23.5","50.2","19.0","5.2","0.9","0.7","0.2","0.2",".",".",".",".",".",".",".","."
"Mass Communication Practices","202
001","","104","3.269","17.3","23.1","55.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","335
001","","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
002","","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
004","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
005","","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","","54","3.722","51.9","40.7","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
001","","40","3.850","72.5","25.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
002","","41","3.634","39.0","48.8","12.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","","81","3.741","55.6","37.0","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401
001","","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Science & Envir Journalism","415
001","","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Magazines&Magazine Editing","417
001","","20","3.700","60.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419
001","","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","445
001","","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","447
001","","23","3.826","73.9","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
076","","20","3.929","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","Course Total","","23","3.936","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559
001","","110","2.913","16.4","20.9","24.5","16.4","15.5","4.5","0.9","0.9",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","","80","2.778","13.8","17.5","27.5","11.3","21.3","5.0","2.5","1.3",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565
001","","86","3.194","15.1","30.2","39.5","8.1","4.7","1.2",".","1.2",".",".",".",".",".",".",".","."
"History of Books&Print Culture","570
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Communication Rsch Methods","658
001","","31","3.613","45.2","32.3","22.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","662
001","","23","3.261","17.4","30.4","39.1","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
662","","24","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Minorities","Course Total","","47","3.511","38.3","31.9","23.4","6.4",".",".",".",".",".",".",".",".",".",".",".","."
"","676
006","","16","3.690","56.3","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
010","","13","3.840","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
014","","32","3.775","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
094","","16","3.531","37.5","31.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","","77","3.716","54.5","35.1","10.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".","14.3",".",".",".","."
"Senior Honors Thesis","682
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
005","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 237 of 406",""
