"BIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","",""
"101","001","","60","2.703","15.0","3.3","31.7","8.3","38.3","1.7",".",".",".",".",".",".",".",".",".","1.7"
"101","002","","83","2.524","14.5","12.0","20.5","8.4","31.3","7.2","6.0",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","","143","2.599","14.7","8.4","25.2","8.4","34.3","4.9","3.5",".",".",".",".",".",".",".",".","0.7"
"102","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","014","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","","51","3.510","41.2","27.5","25.5","3.9","2.0",".",".",".",".",".",".",".",".",".",".","."
"130
General Botany","001","","11","2.818","9.1","18.2","45.5","18.2",".",".","9.1",".",".",".",".",".",".",".",".","."
"150
Ways of Knowing Biology","001","","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"151","001","","117","2.878","19.7","9.4","37.6","6.0","17.9","7.7",".",".","0.9",".",".",".","0.9",".",".","."
"151","002","","149","2.899","13.4","12.1","41.6","9.4","22.1","1.3",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","266","2.890","16.2","10.9","39.8","7.9","20.3","4.1",".",".","0.4",".",".",".","0.4",".",".","."
"152","001","","33","2.652","15.2","9.1","36.4","6.1","18.2","12.1","3.0",".",".",".",".",".",".",".",".","."
"152","002","","37","2.716","13.5","10.8","37.8","8.1","21.6","2.7","5.4",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","70","2.686","14.3","10.0","37.1","7.1","20.0","7.1","4.3",".",".",".",".",".",".",".",".","."
"299","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","Course Total","","5","***","","","","","","","","","","","","","","","",""
"375","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"375","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 165 of 406",""
