"Lit Search Strategies&Analysis","739
001","","4","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Biochm Genetics for Counselors","744
001","","4","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Adv Pract-Genetic Counselng","813
005","","5","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","990
048","","5","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MD GENET
616","Dept. Total","","93","3.789","66.7","18.3","5.4","1.1","2.2","1.1","",".","5.4","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","2","3.500","50.0",".","50.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","26","3.961","92.3","7.7",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","18","3.765","88.9",".",".","5.6",".","5.6","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","47","3.868","89.4","4.3","2.1","2.1",".","2.1","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","44","3.642","40.9","34.1","9.1",".","4.5",".","",".","11.4","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","93","3.789","66.7","18.3","5.4","1.1","2.2","1.1","",".","5.4","",".",".","",".","",".","",".",".",".","."
