"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"101","002","","9","3.500","44.4","22.2","11.1",".","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"101","003","","12","2.875","16.7","33.3","16.7","8.3","16.7",".","8.3",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","31","3.317","38.7","25.8","16.1","3.2","9.7",".","3.2",".",".",".",".",".","3.2",".",".","."
"102
Beginning Class Piano","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","002","","9","3.167","22.2","22.2","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"104
Intermediate Class Piano","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"14
Fundamentals: Single Reeds","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"143
Intro to Performance: Voice","001","","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"200","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","250","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","251","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","252","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"200","253","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","16","3.600","50.0","25.0","12.5",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"201","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","12","3.643","41.7","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"202
Elem/Intermed Harpsichord","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"203
Elem/Intmed Organ","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"205","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","045","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","061","","10","3.750","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","062","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","268","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","270","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"205","271","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","37","3.675","48.6","32.4","10.8","5.4",".",".",".",".",".",".",".",".","2.7",".",".","."
"207
Elem/Intmed Flute","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","6","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","005","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"215
Elem/Intmed Bassoon","032","","7","3.286",".","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"217
Elem/Intmed Horn","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"219
Elem/Intmed Trumpet","063","","12","3.731","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"221
Elem/Intmed Trombone","089","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"223
Elem/Intmed Euphonium","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"225
Elem/Intmed Tuba","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"227
Elem/Intmed Percussion","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 267 of 406",""
